"","X","Country","Max.Cases","a_Log","b_Log","c_Log","a_Ber","b_Ber","c_Ber","a_Gom","b_Gom","c_Gom","child_vaccination","GNI","HDI","life_expectancy","malnutrition","pop_density","urbanization","saving_rate","moving_rate","GDP","POP","AI","INT","Birth","PUB_SOCIAL_WELFARE_2016","NATIONAL_COMP_2019","TEMPERATURE_AVG","PRECIPITATION_AVG","PHARMA_SALES","Tuberculosis","GDP_growth","Export","Import","Travel_out","Travel_in","Eco_Participation"
"27",27,"체코",6746,6812.002,5.326685,0.174685,7962,0.087,11.245,7811,13.887,0.093,0.500557349936737,-0.419767399591249,0.48304510407412,0.128460643828025,-0.504934582893887,-0.175234731224537,-0.0983953031890549,0.546452411984804,-0.15760513926674,-0.414941200166326,-0.824299052928181,0.762109336308907,0.228379605110512,-0.465542734904985,-0.189511335324043,0.442481709911535,-0.827591388805285,-0.648953826766686,-0.614263795899707,-0.454521108162421,-0.0348219443031548,2.22592788590944,2.18513479736609,NA,NA,-0.270784693165919
"28",28,"오스트레일리아",6610,6482,14.65,0.239,6775,0.15,6751.571,6775,6754.255,0.15,0.29343017065257,0.989499863565462,0.96420331321045,0.978924165189261,-0.504934582893887,-0.277585769668237,0.667446077710161,-0.388503365017821,1.12015002878168,0.846233064882132,-0.332147675481993,-0.0556682275828761,0.610031650072911,-0.155180911634995,-0.387322437158629,-0.466350017915061,-0.151976542275048,-0.482503344180356,-0.130517619963186,-0.435929286730589,-0.0938678498606781,-0.611078005779378,-0.721535581770031,-0.796935847492985,-0.650435975087304,0.54156938633184
"29",29,"싱가포르",6588,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.362472563747292,1.09444505979847,0.898161990387817,1.01882245384571,NA,5.80403642215211,1.54409004137777,2.27845117240206,0.625487606103955,1.11415816146561,-0.202188532393391,0.401764428018692,0.507279176429188,-1.08626638144497,NA,-1.49635930945187,1.66291039840422,2.06397500810725,NA,-0.0640928580939474,0.0832698668118916,3.18714751173052,3.12416593893607,-0.555553885903363,-0.678388798343366,1.04522891562045
"30",30,"인도네시아",6575,11768,4.439,0.117,NA,NA,NA,54865,6.579,0.028,-2.19209598075743,-1.06239530934274,-1.34724298558173,-1.49686964144011,0.84347845444899,-0.173110354348072,-1.25574332127955,0.453312168794381,-0.875882081785083,-1.01041911470896,0.447607183049623,-1.17404439372712,-2.04196076492222,0.620723646539981,NA,0.381892928056428,1.72914714806404,1.66225475339841,NA,2.46439485663522,1.32323388351988,-0.629150784052359,-0.806531896481243,-0.602883682293485,-0.706073617541364,0.769028528591212
"31",31,"세르비아",6318,9618.1,12.63937,0.15091,NA,NA,NA,28526,66.308,0.043,-0.327951367199931,-1.02228110075733,-0.469836839509593,NA,0.298927035522059,-0.218102514644863,NA,NA,NA,-0.922775955877286,NA,NA,-0.182630289464379,NA,NA,NA,NA,NA,NA,-0.324378358139597,0.79182073350217,NA,NA,NA,NA,-1.34309207810296
"32",32,"필리핀",6259,6492,5.473,0.175,8392,0.078,10.43,8057,13.55,0.087,-0.604120939578821,-1.06771321495508,-1.30007061213699,-1.57540627279545,2.39933965138308,-0.00709882763671719,-1.78330901231143,-1.10077109487393,-0.953071810636521,-1.03527732026907,0.87135193812549,-1.28233457342055,-0.681713732876746,1.08626638144497,NA,1.23013587402792,1.55693159894849,3.06169006693333,NA,4.64893387487549,1.91369293909511,-0.488351232390766,-0.0537801033202681,-0.901061399551253,NA,-0.0108313877266362
"33",33,"말레이시아",5389,5677,9.576,0.138,NA,NA,NA,6905,106.306,0.069,0.431514956842015,-0.805266288715678,-0.328319719175378,-0.548130335388246,-0.401210503098281,-0.204355091150708,0.0422387441708339,0.448126833449917,-0.296075263542221,-0.76631313470719,0.0749322049889243,-1.05268470958793,0.296881254206327,0.155180911634995,NA,-0.223994890494636,1.64966304847225,2.34764877813322,NA,0.363519034838191,1.02800435573226,1.40634840608822,1.3422970898106,0.012403670778101,NA,0.996487670850585
"34",34,"도미니카공화국",4680,6325,11.242,0.138,NA,NA,NA,13346,63.724,0.046,-1.08741769124188,-0.930366593310911,-0.950995048645923,-0.992471276425376,NA,-0.116999077050477,0.357975968145486,-0.84930320693852,-1.6029975428742,-0.874738073106799,-0.553898023047862,-1.11243101562568,-0.314740612720594,0.775904558174976,NA,NA,NA,NA,NA,NA,2.3860601835553,-1.02591131171965,-0.322510966598831,NA,NA,-0.205796366806099
"35",35,"파나마",4273,5194,4.583,0.152,12892,0.034,3.634,8483,7.059,0.059,-0.466036153389376,-0.641507912052628,-0.450967890131697,-0.0617911957653784,1.23244375368251,-0.237613220423774,-0.479623872747969,0.892259112419426,0.0303606890050822,-0.579077293792273,-0.749844693806065,-1.02281155656905,-0.789359181455884,0.931085469809971,NA,NA,NA,NA,NA,0.000978516917464874,0.437545300157031,-1.23353811327436,-0.519478474342778,NA,NA,0.216627754532736
"36",36,"콜롬비아",3792,4372,4.674,0.157,NA,NA,NA,7065,7.274,0.061,-0.0517817948210418,-0.955706917180751,-0.847215827067499,-0.318400189124249,NA,NA,0.339425309491954,-0.986490485725827,0.459912691544764,-0.918179985395916,0.475561166257926,-0.86224335909258,-0.574068284297608,-0.155180911634995,NA,1.59366856515856,-0.125481842411117,-0.240154075765837,NA,-0.194235608116772,-0.152913755418201,-0.819125104503225,-0.738840220693272,NA,NA,1.22394681310996
