"국가별","항목","단위","2015 년","2016 년","2017 년",
"버뮤다","연평균인구증가율[%]","%","-.76091","-.6449","-.56134",
"버뮤다","인구밀도[㎢당]","㎢당","1164.81132","1164.0566","1134.46182",
"캐나다","조출생률[‰]","‰","10.67165","10.56408","10.2509",
"캐나다","조사망률[‰]","‰","7.3769","7.36842","",
"캐나다","자연증가율[‰]","‰","3.29475","3.19565","",
"캐나다","연평균인구증가율[%]","%","1.05578","1.08213","1.09259",
"캐나다","인구밀도[㎢당]","㎢당","3.59037","3.99037","3.67644",
"그린란드","조출생률[‰]","‰","15.21902","14.77236","15.18577",
"그린란드","조사망률[‰]","‰","8.41145","8.66764","8.88359",
"그린란드","자연증가율[‰]","‰","6.80757","6.10472","6.30218",
"그린란드","연평균인구증가율[%]","%","-.14914","-.10291","-.09202",
"그린란드","인구밀도[㎢당]","㎢당",".02591",".02594",".02593",
"멕시코","조출생률[‰]","‰","17.32375","18.75884","",
"멕시코","조사망률[‰]","‰","5.4096","5.59759","",
"멕시코","자연증가율[‰]","‰","11.91415","13.16124","",
"멕시코","조혼인율[‰]","‰","4.61153","4.44699","",
"멕시코","조이혼율[‰]","‰","1.02378","1.1434","",
"멕시코","연평균인구증가율[%]","%","1.14802","1.13037","1.11359",
"멕시코","인구밀도[㎢당]","㎢당","61.60016","62.24548","62.87917",
"미국","조출생률[‰]","‰","12.39806","","",
"미국","조사망률[‰]","‰","8.45328","","",
"미국","자연증가율[‰]","‰","3.94478","","",
"미국","조혼인율[‰]","‰","6.92304","","",
"미국","조이혼율[‰]","‰","2.49585","","",
"미국","연평균인구증가율[%]","%",".76564",".72633","",
"미국","인구밀도[㎢당]","㎢당","32.68605","32.85981","",
"안길라","조출생률[‰]","‰","11.21322","8.95016","",
"안길라","조사망률[‰]","‰","4.14549","5.50269","",
"안길라","자연증가율[‰]","‰","7.06772","3.44747","",
"안길라","조혼인율[‰]","‰","2.71836","4.24304","",
"안길라","연평균인구증가율[%]","%","-2.12434","","",
"안길라","인구밀도[㎢당]","㎢당","161.79121","","",
"아르헨티나","조출생률[‰]","‰","17.85312","16.70174","",
"아르헨티나","조사망률[‰]","‰","7.72993","8.09794","",
"아르헨티나","자연증가율[‰]","‰","10.12319","8.6038","",
"아르헨티나","조혼인율[‰]","‰","2.75455","2.73762","",
"아르헨티나","연평균인구증가율[%]","%","1.1198","1.10729","1.09726",
"아르헨티나","인구밀도[㎢당]","㎢당","15.5148","15.67773","15.75039",
