"국가별","성별","항목","단위","2010 년","2015 년","2020 년",
"칠레","여자","기대수명[세]","세","81.09","82.1","82.32",
"콜롬비아","합계","기대수명[세]","세","74.828","75.993","77.021",
"콜롬비아","남자","기대수명[세]","세","71.73","73.08","74.23",
"콜롬비아","여자","기대수명[세]","세","77.91","78.88","79.78",
"코스타리카","합계","기대수명[세]","세","78.416","79.158","80.003",
"코스타리카","남자","기대수명[세]","세","76.06","76.7","77.43",
"코스타리카","여자","기대수명[세]","세","80.83","81.69","82.66",
"쿠바","합계","기대수명[세]","세","78.11","78.458","78.685",
"쿠바","남자","기대수명[세]","세","76.13","76.51","76.72",
"쿠바","여자","기대수명[세]","세","80.14","80.43","80.67",
"도미니카공화국","합계","기대수명[세]","세","71.446","72.618","73.811",
"도미니카공화국","남자","기대수명[세]","세","68.52","69.62","70.72",
"도미니카공화국","여자","기대수명[세]","세","74.64","75.86","77.12",
"에콰도르","합계","기대수명[세]","세","74.594","75.586","76.702",
"에콰도르","남자","기대수명[세]","세","71.73","72.81","73.95",
"에콰도르","여자","기대수명[세]","세","77.59","78.48","79.56",
"엘살바도르","합계","기대수명[세]","세","70.617","71.818","72.986",
"엘살바도르","남자","기대수명[세]","세","65.93","67.04","68.11",
"엘살바도르","여자","기대수명[세]","세","75.13","76.32","77.54",
"과테말라","합계","기대수명[세]","세","70.504","72.44","73.936",
"과테말라","남자","기대수명[세]","세","67.25","69.22","71",
"과테말라","여자","기대수명[세]","세","73.7","75.6","76.8",
"아이티","합계","기대수명[세]","세","59.65","61.405","63.519",
"아이티","남자","기대수명[세]","세","57.72","59.3","61.37",
"아이티","여자","기대수명[세]","세","61.58","63.52","65.68",
"온두라스","합계","기대수명[세]","세","72.657","73.937","74.992",
"온두라스","남자","기대수명[세]","세","70.31","71.56","72.68",
"온두라스","여자","기대수명[세]","세","75.01","76.31","77.28",
"자메이카","합계","기대수명[세]","세","74.152","73.975","74.332",
"자메이카","남자","기대수명[세]","세","72.75","72.48","72.77",
"자메이카","여자","기대수명[세]","세","75.58","75.54","75.94",
"니카라과","합계","기대수명[세]","세","71.728","73.1","74.154",
"니카라과","남자","기대수명[세]","세","68.55","69.78","70.61",
"니카라과","여자","기대수명[세]","세","74.87","76.38","77.66",
"파나마","합계","기대수명[세]","세","76.312","77.291","78.243",
"파나마","남자","기대수명[세]","세","73.53","74.37","75.13",
"파나마","여자","기대수명[세]","세","79.28","80.39","81.53",
"파라과이","합계","기대수명[세]","세","72.133","73.162","74.082",
"파라과이","남자","기대수명[세]","세","70.16","71.29","72.11",
"파라과이","여자","기대수명[세]","세","74.23","75.15","76.2",
"페루","합계","기대수명[세]","세","73.66","75.11","76.409",
"페루","남자","기대수명[세]","세","71.27","72.6","73.71",
"페루","여자","기대수명[세]","세","76.08","77.66","79.18",
"푸에르토리코","합계","기대수명[세]","세","77.939","79.135","79.851",
"푸에르토리코","남자","기대수명[세]","세","74.01","75.43","76.22",
"푸에르토리코","여자","기대수명[세]","세","81.77","82.7","83.31",
"수리남","합계","기대수명[세]","세","69.821","70.934","71.488",
"수리남","남자","기대수명[세]","세","66.68","67.8","68.29",
"수리남","여자","기대수명[세]","세","73.21","74.26","74.85",
"우루과이","합계","기대수명[세]","세","76.376","77.049","77.695",
"우루과이","남자","기대수명[세]","세","72.57","73.22","73.87",
"우루과이","여자","기대수명[세]","세","80.02","80.67","81.3",
"베네수엘라","합계","기대수명[세]","세","72.994","73.069","72.126",
"베네수엘라","남자","기대수명[세]","세","69.25","69.36","68.4",
"베네수엘라","여자","기대수명[세]","세","76.99","77.01","76.08",
"알바니아","합계","기대수명[세]","세","75.639","77.487","78.377",
"알바니아","남자","기대수명[세]","세","73.16","75.21","76.73",
"알바니아","여자","기대수명[세]","세","78.54","79.96","80.1",
"오스트리아","합계","기대수명[세]","세","80.13","80.986","81.352",
"오스트리아","남자","기대수명[세]","세","77.3","78.37","78.89",
"오스트리아","여자","기대수명[세]","세","82.79","83.48","83.75",
"벨기에","합계","기대수명[세]","세","79.57","80.524","81.387",
"벨기에","남자","기대수명[세]","세","76.79","77.97","79.02",
"벨기에","여자","기대수명[세]","세","82.27","83","83.69",
"불가리아","합계","기대수명[세]","세","73.138","74.251","74.847",
"불가리아","남자","기대수명[세]","세","69.67","70.83","71.34",
"불가리아","여자","기대수명[세]","세","76.75","77.78","78.48",
"체코","합계","기대수명[세]","세","76.986","78.161","79.149",
"체코","남자","기대수명[세]","세","73.79","75.11","76.48",
"체코","여자","기대수명[세]","세","80.09","81.15","81.76",
"덴마크","합계","기대수명[세]","세","78.582","80.143","80.68",
"덴마크","남자","기대수명[세]","세","76.37","78.1","78.69",
"덴마크","여자","기대수명[세]","세","80.77","82.16","82.68",
"에스토니아","합계","기대수명[세]","세","73.778","76.763","78.461",
"에스토니아","남자","기대수명[세]","세","68.32","71.85","73.98",
"에스토니아","여자","기대수명[세]","세","79.03","81.23","82.49",
"핀란드","합계","기대수명[세]","세","79.541","80.701","81.641",
"핀란드","남자","기대수명[세]","세","76.12","77.67","78.75",
"핀란드","여자","기대수명[세]","세","82.91","83.67","84.52",
"프랑스","합계","기대수명[세]","세","80.952","81.939","82.457",
"프랑스","남자","기대수명[세]","세","77.46","78.7","79.44",
"프랑스","여자","기대수명[세]","세","84.31","85.04","85.36",
"독일","합계","기대수명[세]","세","79.732","80.445","81.101",
"독일","남자","기대수명[세]","세","76.99","77.94","78.67",
"독일","여자","기대수명[세]","세","82.37","82.91","83.55",
"그리스","합계","기대수명[세]","세","80.008","81.078","81.981",
"그리스","남자","기대수명[세]","세","77.28","78.51","79.48",
"그리스","여자","기대수명[세]","세","82.82","83.67","84.48",
"헝가리","합계","기대수명[세]","세","73.742","75.253","76.633",
"헝가리","남자","기대수명[세]","세","69.58","71.56","72.96",
"헝가리","여자","기대수명[세]","세","77.79","78.73","80.08",
"아이슬란드","합계","기대수명[세]","세","81.393","82.186","82.77",
"아이슬란드","남자","기대수명[세]","세","79.56","80.58","81.23",
"아이슬란드","여자","기대수명[세]","세","83.2","83.78","84.31",
"아일랜드","합계","기대수명[세]","세","79.684","80.612","82.046",
"아일랜드","남자","기대수명[세]","세","77.36","78.69","80.35",
"아일랜드","여자","기대수명[세]","세","81.99","82.51","83.7",
"이탈리아","합계","기대수명[세]","세","81.511","82.356","83.279",
"이탈리아","남자","기대수명[세]","세","78.78","79.87","81.04",
"이탈리아","여자","기대수명[세]","세","84.06","84.66","85.35",
"라트비아","합계","기대수명[세]","세","71.552","74.133","75.053",
"라트비아","남자","기대수명[세]","세","65.96","69.01","69.94",
"라트비아","여자","기대수명[세]","세","76.98","78.84","79.81",
"룩셈부르크","합계","기대수명[세]","세","79.505","81.145","81.998",
"룩셈부르크","남자","기대수명[세]","세","76.73","78.76","79.84",
"룩셈부르크","여자","기대수명[세]","세","82.17","83.45","84.15",
"북마케도니아","합계","기대수명[세]","세","74.168","75.161","75.603",
"북마케도니아","남자","기대수명[세]","세","72.12","73.14","73.6",
"북마케도니아","여자","기대수명[세]","세","76.27","77.23","77.65",
"몰타","합계","기대수명[세]","세","80.293","81.446","82.289",
"몰타","남자","기대수명[세]","세","78.07","79.41","80.4",
"몰타","여자","기대수명[세]","세","82.39","83.35","84.07",
"몰도바","합계","기대수명[세]","세","68.273","70.967","71.684",
"몰도바","남자","기대수명[세]","세","64.4","66.74","67.42",
"몰도바","여자","기대수명[세]","세","72.1","75.21","75.94",
"네덜란드","합계","기대수명[세]","세","80.178","81.305","82.06",
"네덜란드","남자","기대수명[세]","세","78.01","79.36","80.32",
"네덜란드","여자","기대수명[세]","세","82.2","83.14","83.77",
"노르웨이","합계","기대수명[세]","세","80.602","81.606","82.179",
"노르웨이","남자","기대수명[세]","세","78.3","79.53","80.17",
"노르웨이","여자","기대수명[세]","세","82.83","83.63","84.2",
"폴란드","합계","기대수명[세]","세","75.559","77.146","78.457",
"폴란드","남자","기대수명[세]","세","71.29","73.07","74.48",
"폴란드","여자","기대수명[세]","세","79.8","81.15","82.37",
"포르투갈","합계","기대수명[세]","세","79.281","80.622","81.754",
"포르투갈","남자","기대수명[세]","세","75.96","77.45","78.67",
"포르투갈","여자","기대수명[세]","세","82.51","83.65","84.64",
"루마니아","합계","기대수명[세]","세","73.076","74.943","75.827",
"루마니아","남자","기대수명[세]","세","69.51","71.49","72.36",
"루마니아","여자","기대수명[세]","세","76.74","78.41","79.32",
"러시아","합계","기대수명[세]","세","67.143","70.271","72.289",
"러시아","남자","기대수명[세]","세","60.97","64.55","66.81",
"러시아","여자","기대수명[세]","세","73.69","75.96","77.54",
"슬로바키아","합계","기대수명[세]","세","74.773","76.229","77.31",
"슬로바키아","남자","기대수명[세]","세","70.83","72.51","73.74",
"슬로바키아","여자","기대수명[세]","세","78.63","79.81","80.76",
"슬로베니아","합계","기대수명[세]","세","78.553","80.142","81.076",
"슬로베니아","남자","기대수명[세]","세","75","77.06","78.25",
"슬로베니아","여자","기대수명[세]","세","81.98","83.13","83.85",
"스페인","합계","기대수명[세]","세","81.222","82.506","83.357",
"스페인","남자","기대수명[세]","세","78.06","79.63","80.6",
"스페인","여자","기대수명[세]","세","84.35","85.32","86.05",
"스웨덴","합계","기대수명[세]","세","81.064","81.92","82.567",
"스웨덴","남자","기대수명[세]","세","79","80.04","80.75",
"스웨덴","여자","기대수명[세]","세","83.07","83.76","84.38",
"스위스","합계","기대수명[세]","세","81.781","82.691","83.556",
"스위스","남자","기대수명[세]","세","79.29","80.5","81.6",
"스위스","여자","기대수명[세]","세","84.09","84.75","85.41",
"우크라이나","합계","기대수명[세]","세","67.887","70.909","71.819",
"우크라이나","남자","기대수명[세]","세","62.25","65.83","66.83",
"우크라이나","여자","기대수명[세]","세","73.79","75.85","76.63",
"영국","합계","기대수명[세]","세","79.686","80.867","81.151",
"영국","남자","기대수명[세]","세","77.53","78.94","79.37",
"영국","여자","기대수명[세]","세","81.75","82.73","82.9",
"알제리","합계","기대수명[세]","세","74.169","75.513","76.593",
"알제리","남자","기대수명[세]","세","72.95","74.36","75.39",
"알제리","여자","기대수명[세]","세","75.43","76.71","77.84",
"앙골라","합계","기대수명[세]","세","52.686","57.74","60.54",
"앙골라","남자","기대수명[세]","세","50.29","55.15","57.83",
"앙골라","여자","기대수명[세]","세","55.26","60.51","63.42",
"보츠와나","합계","기대수명[세]","세","55.874","64.406","69.095",
"보츠와나","남자","기대수명[세]","세","53.64","61.76","66.03",
"보츠와나","여자","기대수명[세]","세","58.14","66.96","71.86",
"카메룬","합계","기대수명[세]","세","53.972","56.278","58.772",
"카메룬","남자","기대수명[세]","세","52.89","54.92","57.53",
"카메룬","여자","기대수명[세]","세","55.04","57.65","60.02",
"중앙아프리카공화국","합계","기대수명[세]","세","46","48.913","52.668",
"중앙아프리카공화국","남자","기대수명[세]","세","44.57","47.31","50.5",
