"CountryCode","C1_School_closing","C2_Workplace_closing","C3_Cancel_public_events","C4_Restrictions_on_gatherings","C5_Close_public_transport","C6_Stay_at_home_requirements","C7_Restrictions_on_internal_movement","C8_International_travel_controls","E1_Income_support","E2_Debt_contract_relief","H1_Public_information_campaigns","H2_Testing_policy","H3_Contact_tracing","StringencyIndex","Days","Government","Nationwide_ConfirmedCases","Nationwide_DailyConfirmed","Capital_ConfirmedCases","Capital_DailyConfirmed","NonCapital_ConfirmedCases","NonCapital_DailyConfirmed"
"KOR",1,0.5,1,0.6,0,0.25,0.333333333333333,0.6,0,0.5,1,1,1,"55.56",61,3,8631,86,644,35,7987,51
"KOR",1,0.5,1,0.6,0,0.75,1,0.6,0,0.5,1,1,1,"69.44",62,3,8772,141,675,31,8097,110
"KOR",1,0.75,1,0.8,0,0.75,1,0.6,0,0.5,1,1,1,"75.93",63,2,8859,87,701,26,8158,61
"KOR",1,0.75,1,0.8,0,0.75,1,0.6,0,0.5,1,1,1,"75.93",64,2,8910,51,721,20,8189,31
"KOR",1,0.75,1,0.8,0,0.75,1,0.6,0,0.5,1,1,1,"75.93",65,2,8966,56,741,20,8225,36
"KOR",1,0.75,1,0.8,0,0.75,1,0.6,0,0.5,1,1,1,"75.93",66,2,9030,64,776,35,8254,29
"KOR",1,0.75,1,0.8,0,0.75,1,0.6,0,0.5,1,1,1,"75.93",67,2,9104,74,804,28,8300,46
"KOR",1,0.75,1,0.8,0,0.75,1,0.6,0,0.5,1,1,1,"75.93",68,2,9181,77,830,26,8351,51
"KOR",1,0.75,1,0.8,0,0.75,1,0.6,0,0.5,1,1,1,"75.93",69,2,9302,121,874,44,8428,77
"KOR",1,0.75,1,0.8,0,0.75,1,0.6,0,0.5,1,1,1,"75.93",70,2,9386,84,916,42,8470,42
"KOR",1,0.75,1,0.8,0,0.75,1,0.8,0.666666666666667,0.5,1,1,1,"75.93",71,2,9450,64,947,31,8503,33
"KOR",1,0.75,1,0.8,0,0.75,1,0.8,0.666666666666667,0.5,1,1,1,"75.93",72,2,9560,110,990,43,8570,67
"KOR",1,0.75,1,0.8,0,0.75,1,0.8,0.666666666666667,0.5,1,1,1,"75.93",73,2,9654,94,1042,52,8612,42
"KOR",1,0.75,1,0.8,0,0.75,1,0.8,0.666666666666667,0.5,1,1,1,"75.93",74,2,9725,71,1077,35,8648,36
"KOR",1,0.75,1,0.8,0,0.75,1,0.8,0.666666666666667,0.5,1,1,1,"75.93",75,2,9789,64,1119,42,8670,22
"KOR",1,0.75,1,1,0,0.75,1,0.8,0.666666666666667,0.5,1,1,1,"78.70",76,2,9868,79,1167,48,8701,31
"KOR",1,0.75,1,1,0,0.75,1,0.8,0.666666666666667,0.5,1,1,1,"78.70",77,2,9922,54,1203,36,8719,18
