Country,"Country
Code","Max 
 Cases",Logistic,,,Bertalanffy,,,Gompertz,,,Poisson,,,Second Wave,Infection Decreasing,,fit_logit,fit_bert,fit_gomp,nfit
,,,a,b,c,a,b,c,a,b,c,log_a,b,c,,,,,,,
Malawi,MWI,3302,17777,7.744,0.058,NA,NA,NA,NA,NA,NA,,,,,,,1,0,0,1
Thailand,THA,3269,3071,11.759,0.150,3100,0.101,1770.461,3100,1775.084,0.101,,,,,,,1,1,1,3
Somalia,SOM,3161,3076,4.757,0.072,3519,0.036,8.369,3433,10.929,0.040,,,,,,,1,1,1,3
Lebanon,LBN,3104,2461,2.950,0.030,NA,NA,NA,3647,3.866,0.013,,,,,,,1,0,1,2
Maldives,MDV,3103,2426,6.072,0.081,2666,0.045,22.036,2646,25.067,0.047,,,,,,,1,1,1,3
Equatorial_Guinea,GNQ,3071,11838,5.225,0.036,NA,NA,NA,91609,8.015,0.007,,,,,,,1,0,1,2
Congo,COG,2851,9658,5.303,0.033,NA,NA,NA,NA,NA,NA,,,,,,,1,0,0,1
Sri_Lanka,LKA,2752,2233,6.857,0.061,2600,0.031,26.815,2587,29.454,0.032,,,,,,,1,1,1,3
Mali,MLI,2494,2643,3.579,0.053,5311,0.012,2.349,3544,5.012,0.024,,,,,,,1,1,1,3
Cuba,CUB,2462,2258,3.604,0.084,2376,0.047,4.932,2343,6.835,0.053,,,,,,,1,1,1,3
South_Sudan,SSD,2211,2067,7.015,0.123,2203,0.074,46.603,2201,48.768,0.074,,,,,,,1,1,1,3
Libya,LBY,2176,3625,6.845,0.058,NA,NA,NA,1813705,13.695,0.006,,,,,,,1,0,1,2
Cape_Verde,CPV,2154,4736,5.153,0.040,NA,NA,NA,NA,NA,NA,,,,,,,1,0,0,1
Lithuania,LTU,2065,1828,3.940,0.090,1892,0.053,6.582,1876,8.673,0.059,,,,,,,1,1,1,3
Slovakia,SVK,2058,1586,3.883,0.106,1628,0.062,6.168,1622,7.706,0.067,,,,,,,1,1,1,3
Zimbabwe,ZWE,2034,1103,6.615,0.068,2461,0.020,10.195,2120,14.676,0.025,,,,,,,1,1,1,3
Estonia,EST,2025,1901,3.788,0.100,1953,0.059,5.848,1942,7.714,0.065,,,,,,,1,1,1,3
Slovenia,SVN,2015,1514,3.002,0.112,1547,0.064,3.247,1536,4.802,0.074,,,,,,,1,1,1,3
Guinea_Bissau,GNB,1954,1606,5.138,0.103,1691,0.062,15.635,1680,18.288,0.065,,,,,,,1,1,1,3
Eswatini,SWZ,1938,5659,5.998,0.039,NA,NA,NA,2084562,12.338,0.004,,,,,,,1,0,1,2
Montenegro,MNE,1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,0,0,0,0
Iceland,ISL,1840,1809,4.968,0.175,1819,0.119,18.118,1819,19.456,0.121,,,,,,,1,1,1,3
Benin,BEN,1811,3265,5.405,0.047,NA,NA,NA,41418,8.642,0.009,,,,,,,1,0,1,2
Sierra_Leone,SLE,1731,1627,4.331,0.072,2052,0.031,5.414,1922,8.011,0.037,,,,,,,1,1,1,3
Rwanda,RWA,1689,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,0,0,0,0
Yemen,YEM,1640,1464,5.818,0.088,2127,0.034,9.531,2000,12.908,0.039,,,,,,,1,1,1,3
Mozambique,MOZ,1557,1402,5.798,0.064,4871,0.013,5.420,3336,9.515,0.020,,,,,,,1,1,1,3
Namibia,NAM,1402,1530,18.868,0.158,NA,NA,NA,NA,NA,NA,,,,,,,1,0,0,1
Tunisia,TUN,1394,1102,4.255,0.117,1125,0.072,8.572,1121,10.617,0.076,,,,,,,1,1,1,3
Jordan,JOR,1230,1473,2.690,0.032,NA,NA,NA,2010,3.471,0.015,,,,,,,1,0,1,2
New_Zealand,NZL,1205,1149,7.508,0.234,1154,0.159,102.967,1154,105.649,0.159,,,,,,,1,1,1,3
Latvia,LVA,1197,1092,3.025,0.077,1137,0.044,3.364,1119,5.059,0.052,,,,,,,1,1,1,3
Uganda,UGA,1191,1100,6.087,0.084,1256,0.046,21.328,1254,23.153,0.046,,,,,,,1,1,1,3
Suriname,SUR,1176,845,10.584,0.102,1414,0.039,68.734,1388,75.535,0.040,,,,,,,1,1,1,3
Niger,NER,1122,1005,2.596,0.092,1051,0.049,2.348,1026,4.041,0.064,,,,,,,1,1,1,3
Uruguay,URY,1117,910,1.666,0.053,1088,0.016,0.880,942,2.210,0.037,,,,,,,1,1,1,3
Liberia,LBR,1114,3932,5.027,0.034,NA,NA,NA,870664,10.643,0.004,,,,,,,1,0,1,2
Georgia,GEO,1073,918,3.810,0.062,1006,0.033,5.185,982,7.222,0.038,,,,,,,1,1,1,3
Burkina_Faso,BFA,1066,919,2.555,0.071,982,0.036,2.126,947,3.768,0.048,,,,,,,1,1,1,3
Cyprus,CYP,1040,957,3.466,0.118,977,0.070,4.873,973,6.477,0.078,,,,,,,1,1,1,3
Andorra,AND,889,807,4.277,0.137,821,0.082,8.254,818,10.425,0.088,,,,,,,1,1,1,3
Chad,TCD,889,867,7.878,0.138,885,0.092,128.356,885,130.387,0.093,,,,,,,1,1,1,3
Jamaica,JAM,816,657,4.266,0.089,694,0.051,7.979,687,10.088,0.055,,,,,,,1,1,1,3
Togo,TGO,806,714,4.753,0.060,948,0.025,6.380,905,8.747,0.028,,,,,,,1,1,1,3
Angola,AGO,779,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,0,0,0,0
Western_Sahara,ESH,766,528,42.272,0.653,NA,NA,NA,NA,NA,NA,,,,,,,1,0,0,1
Sao_Tome_and_Principe,STP,747,750,4.242,0.089,837,0.045,6.158,817,8.346,0.051,,,,,,,1,1,1,3
San_Marino,SMR,725,712,3.094,0.071,745,0.039,3.330,736,4.831,0.045,,,,,,,1,1,1,3
Malta,MLT,679,652,2.539,0.066,699,0.033,2.129,673,3.736,0.044,,,,,,,1,1,1,3
Syria,SYR,561,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,0,0,0,0
Botswana,BWA,522,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,0,0,0,0
