"","a1_Logi","b1_Logi","c1_Logi","a2_Logi","b2_Logi","c2_Logi","MSE","MAPE","MSSE"
"Gambia",3105.68702726861,6.43226656680605,0.138691970327693,NA,NA,NA,159.736264945641,0.408442230744332,0.0751175949446756
"Germany",175285.912429541,4.753973501991,0.115949544576745,152925.898825518,3.68061413208978,0.037260291147665,218893.344887105,167.040786506904,0.0995443530382844
"Ghana",9712.61320236974,5.49311663484653,0.102295018942722,41388.520445515,3.57232708406246,0.0616201502382082,7282.70656591521,57.4502706263451,0.118711063015934
"Greece",2731.13960495367,3.33669131746406,0.112022598630499,NA,NA,NA,117.710332136004,0.361067555273154,0.0929343020638743
"Guam",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guatemala",80489.4251435699,6.00048767583973,0.0524856838065428,NA,NA,NA,13509.7879011234,0.246075761630171,0.0585569037055365
"Guinea",5303.43094546491,3.34381761261739,0.0680450305941408,4510.1789973359,2.81915074221838,0.0735652895033905,308.866517301303,47.5424283609971,0.081887531141873
"Haiti",7622.65056039985,4.77532091908852,0.0823704069131673,NA,NA,NA,583.272255553125,0.665745480769909,0.15442492867672
"Honduras",56907.1850877671,6.38301193273603,0.0563797836893776,11520.8319313244,3.04365335635157,0.257024414841476,9446.77579897675,10.1559286348553,0.0551402761587434
"Hungary",3964.04226589821,3.46501590711207,0.0889213999098474,4036.49984136661,4.46564364269049,0.0535455643395504,157.597668398004,137.696202461185,0.264456384003421
"Iceland",1782.39828870848,4.31449835724366,0.176327186802103,478.788153542707,7.12621583155354,0.0717107139468723,7.87093603396426,542.604848053837,0.177099777135678
"India",6765895.51151139,7.12237738320412,0.0409632423239549,NA,NA,NA,1725156.40191138,1.87121547944472,0.00449389213048553
"Indonesia",245161.331574727,4.77876863635265,0.0316213927322778,NA,NA,NA,18538.1294424628,NA,NA
"Iran",94307.3205123134,4.55095837629,0.110203895235279,279269.296362373,2.90522512456454,0.0431712562958984,230488.295510826,60.7570290145324,0.0530711442698995
"Iraq",286347.396275534,7.22303121743254,0.0466178835563109,NA,NA,NA,151130.243622906,0.583846839637286,0.097081217389868
"Ireland",25830.5125910479,4.26197656951991,0.106323132101124,NA,NA,NA,4165.08297694407,0.544197636270606,0.150750439232885
"Israel",16392.4043769074,4.33214730753493,0.139092315779753,81068.1323522399,6.15441381768268,0.0894594773655649,21417.9061322487,101.463561489744,0.06663448292404
"Italy",234107.403997798,4.04540647934106,0.0873541095487597,152106.586695871,4.81472820745231,0.0551271988364165,297583.348453938,235.953712873132,0.147490733582024
"Jamaica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Japan",16549.7613718016,7.82437902396032,0.123071305679194,58877.7824513091,6.73525467574525,0.0859317039481186,8807.38519795428,80.3445909524766,0.0472408629737006
"Kazakhstan",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kenya",44506.1653480076,6.75772420829584,0.0519136984028011,NA,NA,NA,3248.98436164861,0.214097650947408,0.0686435616510264
"Kosovo",19149.3512776248,5.99618666447031,0.0424122211258932,NA,NA,NA,816.44974040923,0.667285142514436,0.125070453772208
"Kuwait",67873.6790904209,5.52753069894492,0.0520978956371585,16566.5381617691,2.75668265569671,0.181464532093157,31385.6721635046,19.642611808535,0.15623991622762
"Kyrgyzstan",43306.2453335919,14.179711385097,0.121715157471988,NA,NA,NA,79719.8698234298,0.608163121814449,1.02293492523316
