,a1_Gom,b1_Gom,c1_Gom,a2_Gom,b2_Gom,c2_Gom,MSE,MAPE,MSSE
Ecuador,48988.27039,13.54049138,0.059705086,118443.9119,4.063650146,0.022769526,80748.33812,52.56829363,0.242123186
Egypt,112100.7271,27.56259632,0.034051149,3048.163504,3.819969618,0.143671613,26896.18931,52.64607952,0.084299581
El_Salvador,84767.30654,8.612447529,0.013421202,NA,NA,NA,3749.5432,0.267820807,0.130574274
Equatorial_Guinea,2947.641114,4.707835637,0.032905051,2242.668491,11.36146529,0.112439788,1128.508613,481.4837626,0.688163348
Estonia,1898.789686,4.001885197,0.067419564,2204.801628,6.834646688,0.019865668,25.89517704,209.7594238,0.16933973
Eswatini,19034.10747,7.676831981,0.013314894,NA,NA,NA,147.3628794,0.373399488,0.121371119
Ethiopia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Finland,7383.640069,5.351760122,0.048543606,2396.743775,5.649657813,0.031377472,83.35063413,229.1400224,0.041568655
France,151791.8627,12.89228962,0.068301689,NA,NA,NA,110414.1399,0.297222948,0.052326444
Gabon,6670.372432,8.349585811,0.041579174,3268.218168,4.398538593,0.101619631,234.0460671,22.93827403,0.055233695
Gambia,4460.854308,16.38887563,0.059023508,NA,NA,NA,174.7847091,0.283389101,0.082194278
Germany,180590.9786,14.36232924,0.074545284,1399956.098,6.087487406,0.007574981,53066.33049,166.4861032,0.047546132
Ghana,43428.14743,8.222957224,0.024470801,50878.79969,5.14967963,0.030298097,11056.76904,57.23099938,0.185993568
Greece,2850.212361,5.666635751,0.070477975,NA,NA,NA,74.92746463,0.244509281,0.059156503
Guam,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guatemala,120849.5954,12.89943705,0.021459275,NA,NA,NA,12859.09545,0.267480808,0.055736539
Guinea,6276.170726,4.860300354,0.035587682,5896.673315,3.687625149,0.035254987,162.157373,47.41711827,0.042169574
Haiti,7919.987398,14.20632968,0.052217936,NA,NA,NA,225.0364299,0.261406557,0.059579783
Honduras,94978.19714,13.76836573,0.021399467,16635.05857,4.032489838,0.112746977,11248.21824,10.24925253,0.078216024
Hungary,4158.272741,6.053939891,0.055383007,90891.58935,7.859337345,0.008853676,122.0480912,137.4933469,0.241709572
Iceland,1815.967309,11.4016685,0.116778262,6308.77318,11.28340513,0.012416199,19.54393013,542.8754234,0.276363005
India,87186712.02,11.86312222,0.007479148,NA,NA,NA,7846569.421,0.598214292,0.020439675
Indonesia,798318.1262,7.018618674,0.00869353,NA,NA,NA,7714.827714,0.160943543,0.008358198
Iran,118567.0264,7.949759261,0.052317867,348087.8775,3.862324556,0.021583284,114116.4184,60.25933176,0.034867773
Iraq,565000.2999,17.31864658,0.016305457,NA,NA,NA,60488.69909,0.470849493,0.038855999
Ireland,26103.46403,11.10854877,0.070719759,NA,NA,NA,4412.171542,0.512517295,0.159693529
Israel,17138.77618,10.45990635,0.087174588,125661.0256,13.51974091,0.035916815,20476.21173,99.20750681,0.042976919
Italy,239477.4238,9.465582636,0.0574035,NA,NA,NA,70016.90756,0.172332326,0.02191165
Jamaica,NA,NA,NA,NA,NA,NA,NA,NA,NA
Japan,17531.49951,89.42542497,0.075955887,98622.5264,15.69330497,0.032538426,15361.14486,79.08784311,0.095499669
Kazakhstan,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,99124.68068,13.02805191,0.016518853,NA,NA,NA,9339.759915,0.385481196,0.19732763
Kosovo,79695.66476,9.222157093,0.010318385,NA,NA,NA,1605.694863,0.816366581,0.245973481
Kuwait,82441.14113,14.36424913,0.02637838,20197.22266,3.638552959,0.093478918,14605.0371,19.02035725,0.072495111
Kyrgyzstan,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lebanon,NA,NA,NA,NA,NA,NA,NA,NA,NA
Libya,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luxembourg,3911.157277,5.01820232,0.105045964,4326.721638,15.6462032,0.05564188,112.5614925,145.8351331,0.053378965
Madagascar,18617.76297,91.94713407,0.040508758,NA,NA,NA,2091.514317,0.649370758,0.2241738
Malawi,560.8270371,29.49794492,0.137022181,5847.553036,5.663135255,0.044797563,51.11477129,36.30302202,0.062640838
Malaysia,6865.998188,7.415792854,0.067793232,2302.412479,2.888077001,0.062006457,211.5724101,367.4621858,0.214543073
Maldives,2481.854743,4.329901949,0.051574139,13064.41818,6.183139348,0.028963984,297.0988554,31.87376016,0.094889007
Mauritania,6952.576272,7.952294086,0.055914717,NA,NA,NA,516.7769111,0.342147239,0.118099449
Mexico,1078940.671,8.707460295,0.016149799,NA,NA,NA,72301.58312,0.066326703,0.0054178
