"country","current_state","first_day","peak_number","break_number","peak1","peak2","peak3","peak4","peak5","break1","break2","break3","break4","break5"
"JOR",34.9467919716419,81,1,1,324,NA,NA,NA,NA,392,NA,NA,NA,NA
"JPN",5.6194390950147,49,2,1,221,382,NA,NA,NA,270,NA,NA,NA,NA
"KAZ",4.96960662625067,84,2,1,188,395,NA,NA,NA,280,NA,NA,NA,NA
"KEN",24.8893315189203,93,2,2,217,320,NA,NA,NA,263,395,NA,NA,NA
"KGZ",0.472658979716663,90,1,1,204,NA,NA,NA,NA,434,NA,NA,NA,NA
"KOR",12.3565633026827,52,3,3,65,241,360,NA,NA,124,282,406,NA,NA
"KWT",31.9528069116514,65,3,3,144,255,300,NA,NA,220,278,362,NA,NA
"LBN",18.7787734350457,74,1,1,383,NA,NA,NA,NA,418,NA,NA,NA,NA
"LBY",31.1195213026892,113,2,2,301,399,NA,NA,NA,371,418,NA,NA,NA
"LKA",13.2307675584441,81,1,0,407,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LSO",0.0566347498290812,189,1,0,378,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LTU",8.08957713157301,83,1,0,357,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LUX",5.87240456524631,77,2,1,90,311,NA,NA,NA,159,NA,NA,NA,NA
"LVA",29.6803657044929,80,1,0,377,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAR",3.48477723067572,81,1,0,320,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MDA",45.6012283178485,82,2,2,173,344,NA,NA,NA,194,387,NA,NA,NA
"MDG",13.080817475902,94,1,1,207,NA,NA,NA,NA,334,NA,NA,NA,NA
"MEX",10.9727889608237,78,2,1,212,389,NA,NA,NA,266,NA,NA,NA,NA
"MLI",19.0154138060699,100,2,2,160,346,NA,NA,NA,218,415,NA,NA,NA
"MLT",36.9739142814529,82,2,1,318,440,NA,NA,NA,356,NA,NA,NA,NA
"MMR",0.341905406678347,107,1,0,333,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MNG",21.6707889321913,135,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MOZ",7.42929203747091,117,2,1,269,399,NA,NA,NA,339,NA,NA,NA,NA
"MRT",1.88227466237643,140,2,1,176,353,NA,NA,NA,286,NA,NA,NA,NA
"MWI",1.19248362191922,133,1,0,391,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MYS",15.79906713483,67,1,0,399,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAM",9.4088248786979,175,3,2,240,367,421,NA,NA,315,408,NA,NA,NA
"NER",2.99574028226166,94,2,2,102,359,NA,NA,NA,252,426,NA,NA,NA
"NGA",6.1502124869074,88,2,1,181,389,NA,NA,NA,302,NA,NA,NA,NA
"NIC",1.61345860473673,140,1,0,152,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NLD",16.098158706659,67,2,2,303,358,NA,NA,NA,333,411,NA,NA,NA
"NOR",32.8026566622152,67,3,3,90,321,375,NA,NA,198,345,409,NA,NA
"NPL",0.623136467251374,120,1,0,294,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NZL",0.725310541336666,83,1,1,95,NA,NA,NA,NA,158,NA,NA,NA,NA
"OMN",13.805304043326,84,2,2,199,285,NA,NA,NA,239,367,NA,NA,NA
"PAK",11.5883256367386,76,2,2,169,342,NA,NA,NA,249,415,NA,NA,NA
"PAN",6.75287594828477,79,2,1,198,373,NA,NA,NA,268,NA,NA,NA,NA
"PER",29.2024721464484,78,3,3,154,236,418,NA,NA,188,349,434,NA,NA
"PHL",25.2883045289111,75,1,1,230,NA,NA,NA,NA,370,NA,NA,NA,NA
"PNG",24.7473160278251,211,1,1,228,NA,NA,NA,NA,318,NA,NA,NA,NA
"POL",20.3512890878136,75,1,1,318,NA,NA,NA,NA,403,NA,NA,NA,NA
"PRI",13.639167652652,88,3,3,229,273,356,NA,NA,254,287,429,NA,NA
"PRT",1.60977744304812,73,2,1,324,392,NA,NA,NA,360,NA,NA,NA,NA
"PRY",41.8055456104075,91,2,2,282,381,NA,NA,NA,314,402,NA,NA,NA
"PSE",26.4541487121749,84,2,2,260,341,NA,NA,NA,286,396,NA,NA,NA
"QAT",9.64292485729984,72,1,1,154,NA,NA,NA,NA,355,NA,NA,NA,NA
"RKS",17.0184475554939,87,2,2,216,325,NA,NA,NA,279,370,NA,NA,NA
"ROU",18.4729212521907,74,1,1,323,NA,NA,NA,NA,408,NA,NA,NA,NA
"RUS",26.0267227320508,77,2,1,135,359,NA,NA,NA,241,NA,NA,NA,NA
"RWA",8.32721966636909,89,2,1,241,394,NA,NA,NA,284,NA,NA,NA,NA
"SAU",2.56430005136489,75,1,0,173,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SDN",3.5809417517049,112,3,2,148,234,344,NA,NA,221,289,NA,NA,NA
"SEN",19.4832389262773,84,2,1,228,408,NA,NA,NA,313,NA,NA,NA,NA
"SGP",0.20991278086055,46,2,1,117,213,NA,NA,NA,190,NA,NA,NA,NA
"SLV",16.8944502396879,98,2,1,219,383,NA,NA,NA,258,NA,NA,NA,NA
"SOM",15.895976086542,108,2,1,157,428,NA,NA,NA,384,NA,NA,NA,NA
"SRB",17.5079649179088,78,1,1,340,NA,NA,NA,NA,393,NA,NA,NA,NA
"SSD",11.9422852867203,128,2,1,163,421,NA,NA,NA,238,NA,NA,NA,NA
"SUR",1.79577248728741,157,2,1,229,379,NA,NA,NA,339,NA,NA,NA,NA
"SVK",25.9792018539032,78,2,2,307,373,NA,NA,NA,332,395,NA,NA,NA
"SVN",8.541144359443,73,1,0,375,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWE",25.2482711800739,66,1,1,353,NA,NA,NA,NA,405,NA,NA,NA,NA
"SWZ",1.08099453025675,120,2,1,227,383,NA,NA,NA,308,NA,NA,NA,NA
"SYC",18.9814835139825,183,1,1,415,NA,NA,NA,NA,436,NA,NA,NA,NA
"SYR",21.170630527156,139,2,2,235,356,NA,NA,NA,270,419,NA,NA,NA
"TGO",41.2931847492998,99,1,1,319,NA,NA,NA,NA,338,NA,NA,NA,NA
"THA",2.65170582826398,72,1,0,399,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TJK",3.52048561930539e-22,125,1,0,145,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TTO",1.60681247352262,87,2,2,261,328,NA,NA,NA,312,431,NA,NA,NA
"TUN",7.82085566930086,83,2,1,309,384,NA,NA,NA,339,NA,NA,NA,NA
"TUR",2.28990077518437,79,1,0,348,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UGA",0.67806031533678,99,2,1,268,350,NA,NA,NA,293,NA,NA,NA,NA
"UKR",40.655632984738,85,1,1,335,NA,NA,NA,NA,406,NA,NA,NA,NA
"URY",41.8271371257772,80,1,1,383,NA,NA,NA,NA,410,NA,NA,NA,NA
"USA",12.5160438005378,65,2,1,205,376,NA,NA,NA,256,NA,NA,NA,NA
"UZB",3.55451344679345,86,2,2,221,265,NA,NA,NA,248,423,NA,NA,NA
"VEN",19.2409548315499,83,2,2,253,389,NA,NA,NA,369,417,NA,NA,NA
"YEM",22.8987408905424,135,1,1,169,NA,NA,NA,NA,313,NA,NA,NA,NA
"ZAF",2.77851481663673,78,2,1,202,377,NA,NA,NA,276,NA,NA,NA,NA
"ZMB",4.74249380104237,110,1,0,387,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZWE",0.56701184010279,142,1,0,380,NA,NA,NA,NA,NA,NA,NA,NA,NA
