"","(Intercept)","Day_1","log(Day)_1","Day_2","log(Day)_2","psi","(Intercept)_s","Day_1","log(Day)_1_s","Day_2_s","log(Day)_2_s","psi_s"
"French_Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gabon",-17.5363638054073,-0.0658602681044727,6.21272429263469,-35.5517352079829,51.8246391693233,169,-6.58765380931993,0.0498170311891569,1.82036464121308,-0.0771179812108065,0.0648792230919542,68
"Gambia",-66.8204540557286,-0.836766433870749,26.8413880683667,0.670847140118384,1.57446169052175,69,-23.4316569340927,-0.344091851019419,9.77537555552547,0.320603675261389,0.790494314493289,68
"Georgia",-5.1628670262971,-0.0513491824220499,2.60800030718732,0.0473003993083653,0.0705282553352066,116,-7.39496110920169,-0.0583541298586209,3.26373785835192,0.0524177818207581,0.045959597069834,119
"Germany",-51.8941064470269,-0.260549056369593,18.4205549457134,0.177102039620339,-0.176520235612541,122,-58.1111683879405,-0.267026623426599,19.9756026074411,0.177140965554346,-0.194928221060807,126
"Ghana",-31.9872045101267,-0.227246020783252,12.3627264569578,0.12290757005754,0.0527169916814995,72,-33.7259416938178,-0.211902654007792,12.5730887782675,0.111058962470878,0.0276474544597083,76
"Gibraltar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greece",-3.65426884737621,-0.10117645828569,3.16774156941561,0.123576083010074,-0.0797708230264696,90,-6.02415842843373,-0.107594485112304,3.89204808620305,0.129769856901314,-0.131571840781223,95
"Greenland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grenada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guam",2.86007086990958,0.0144898190386359,-0.741839206493936,0.0821246246050899,0.0056152883503472,130,2.04207282994983,-0.0180963125024373,-0.146817836226902,0.0882984346490864,-0.358391675858631,84
"Guatemala",-5.84670907064271,0.0115374335207076,2.37957064562457,-0.0272156706834777,-0.133815468075925,127,-25.8624168759414,-0.238056710002339,10.3989514498949,0.165867750633624,-0.0773885071101714,51
"Guernsey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guinea",-9.75150102606892,-0.071599381227205,4.49060033615325,0.0437494624420692,-0.0108206305085752,100,-11.8081863330321,-0.0743288043648281,5.02316614898903,0.0446373605665715,-0.00266779791448048,106
"Guinea_Bissau",-17.5380708896983,-0.159074662437099,7.38261410386031,0.0834758189481554,-0.0238752265806897,77,-19.0356328388288,-0.151003456304814,7.65693016489812,0.0711529031358839,-0.0134607885710012,81
"Guyana",-0.259601689418296,0.00837822515236859,0.143938624505906,0.0399364359855874,0.0123408385080724,122,-1.02480181642048,-0.00959751360425643,0.565945356727147,0.0510401545962969,-0.125325146673793,93
"Haiti",2.76431584851923,0.15056637241958,-1.95055879307923,-0.163894697363829,0.0802170873104692,73,2.73727334546902,0.143949085033307,-1.94813221639515,-0.157750171803025,0.0814431932242781,77
