"","(Intercept)","Day","log(Day)","(Intercept)_smoothing","Day_smoothing","log(Day)_smoothing"
"Egypt",-41.8734448138415,-0.114408174010548,13.1036471740388,-47.9400630745448,-0.121686189337745,14.5572280089019
"El_Salvador",-10.9644657516728,-0.0242085931163018,4.06559596217956,-10.2973172809842,-0.0172866469152629,3.74122826847405
"Eritrea",NA,NA,NA,NA,NA,NA
"Estonia",2.16470023911873,-0.0230655042089774,0.530441131260497,0.741607231743282,-0.0316343196196211,1.02950619153311
"Eswatini",-11.2747530046054,-0.010469437124871,3.39672272422557,-9.13633456095825,-0.000700734318711202,2.67925181121432
"Ethiopia",-3.16678805623309,0.0275369178054752,1.15839091299346,-2.53754890929207,0.0309600982988537,0.899082503636407
"Falkland_Islands_(Malvinas)",NA,NA,NA,NA,NA,NA
"Faroe_Islands",NA,NA,NA,NA,NA,NA
"Fiji",NA,NA,NA,NA,NA,NA
"Finland",-12.1152285726257,-0.0648821876130501,4.98197699787466,-16.3154070463967,-0.0748764434879094,6.12962708914626
"France",2.60112895449214,-0.00660367403743118,1.1575826069581,0.0815560973931002,-0.0151337253885301,1.90041123810488
"French_Polynesia",NA,NA,NA,NA,NA,NA
"Gabon",-17.1380251294099,-0.0662514458384341,6.14822776677367,-19.0973792516974,-0.0664704926416894,6.57894831043994
"Gambia",-7.52053432164445,0.0422508135124191,1.06111266547504,-0.0792363607488905,0.0695082748870772,-1.26554454135915
"Georgia",-0.126923016175333,-0.00794931659808873,0.687470712651762,-1.3064976038977,-0.011723290008832,1.0296953368449
"Germany",-2.74052125024276,-0.0382325486847956,3.0724436616827,-5.45783702017256,-0.0448911439320269,3.81823041888052
"Ghana",-9.44574350130375,-0.0349977257324531,4.11537944786265,-9.99477329925644,-0.0316248489066931,4.1478682729726
"Gibraltar",NA,NA,NA,NA,NA,NA
"Greece",4.51108539669327,0.0224149512193327,-0.671388345163544,4.07835494521982,0.0195594749292987,-0.524382788493795
"Greenland",NA,NA,NA,NA,NA,NA
"Grenada",NA,NA,NA,NA,NA,NA
"Guam",3.37490088804567,0.0524916984476547,-1.59577841809189,3.26910152241078,0.044073128174027,-1.39100813092806
"Guatemala",-22.1367234363305,-0.0508796538214337,7.30181675371985,-24.4536901297385,-0.0519583150120376,7.80002873263161
"Guernsey",NA,NA,NA,NA,NA,NA
"Guinea",-1.95761503599183,-0.0188345739852368,1.77065630735013,-3.25714814395067,-0.0210745289857574,2.10299490193949
"Guinea_Bissau",-4.60131765119818,-0.0477189793227991,2.61767029737753,-6.76201684523155,-0.0543875790134359,3.247171631549
"Guyana",1.55798771419343,0.0379330150989315,-0.851876137591515,1.53854855534087,0.036350209352076,-0.83763077696538
"Haiti",-30.2144186989271,-0.118225518548382,10.1449585698981,-34.4940254140293,-0.123714637562452,11.2060664098176
"Holy_See",NA,NA,NA,NA,NA,NA
"Honduras",-14.2417822600745,-0.0351338861035188,5.199305228345,-18.0664106298626,-0.0421426561621748,6.16626193682797
"Hungary",2.15171669146033,-0.0105476176927172,0.540703795170611,0.000650863967371007,-0.0251197977831615,1.31109322374072
