"","a1_Logi","b1_Logi","c1_Logi","a2_Logi","b2_Logi","c2_Logi","MSSE"
"Cote_dIvoire",19182.4988127525,5.39474284090736,0.0524951802818201,889.990312276913,3.02513470748276,0.337159179276769,0.08976880262811
"Croatia",2171.01515757414,3.12366980205684,0.131737457501831,13184.8288611179,4.35445574531124,0.048175490014072,0.264759895092601
"Cuba",1856.75840360068,3.45712185361155,0.123824352386584,424.295433955605,3.01609013521362,0.186788453041025,0.0354017391652253
"Czechia",8425.21683751703,3.43732574811301,0.11468995689354,20390.7458085958,3.63318528430433,0.0475975394174181,0.119308593145227
"Democratic_Republic_of_the_Congo",9704.17595315474,4.85522044739838,0.0575189047802807,208.755158095205,3.32733555751387,0.611747022625876,0.0521007143227289
"Denmark",12229.4184721217,3.02479830249164,0.0746639222785677,4665.24561415061,4.28398127515913,0.104391340425978,0.110655630719651
"Djibouti",1051.50980085609,4.93987046899168,0.311502370419976,3980.21774973722,4.07203723788206,0.135670584290542,0.262227536686218
"Dominican_Republic",143968.888565876,4.51416469310964,0.0321458609932388,NA,NA,NA,0.0886910958744237
"Ecuador",41796.9588122024,5.4738499194165,0.117533386538475,84434.3145836409,3.07741590010527,0.0511378458980837,0.216102249212748
"Egypt",99949.4036379042,6.46440487189081,0.0618329554316945,NA,NA,NA,0.0104425537289725
"El_Salvador",34877.737987955,5.48338099082218,0.0437690294419189,NA,NA,NA,0.0450464471494717
"Equatorial_Guinea",1692.85794494135,3.52905342194914,0.0881053969791012,1949.53104727892,5.09404069669824,0.216341959962396,0.63867981951264
"Estonia",1856.00230263851,2.69373930058259,0.10190086010575,534.258309090883,4.64247696126074,0.0787878151813584,0.203911498383378
"Eswatini",6353.99508744946,5.15048387416724,0.0474840072380142,NA,NA,NA,0.0584866432663772
"Ethiopia",NA,NA,NA,NA,NA,NA,NA
"Finland",7134.78779125188,3.21174714723573,0.0755196866100555,1033.34559345789,4.04217982055645,0.0980078168997166,0.0627820298504013
"France",147092.54346601,4.60314223337742,0.106868892333701,NA,NA,NA,0.126514391218183
"Gabon",3546.96066638368,5.15363024781014,0.117203079211921,2908.75888219119,3.08556926054341,0.182078289908296,0.0465443184204387
"Gambia",3105.6875639222,6.43226449261607,0.138691916960816,NA,NA,NA,0.0751175620140189
"Germany",175285.915874343,4.753970120959,0.115949471451667,152925.955750444,3.68061429441614,0.0372602860669232,0.0995442677290014
"Ghana",9712.58293437145,5.49311759198957,0.102295156564528,41388.5307825766,3.57232583626239,0.061620116881852,0.118710680269957
"Greece",2731.13790140689,3.33669687786165,0.112022900069095,NA,NA,NA,0.0929345129708203
"Guam",NA,NA,NA,NA,NA,NA,NA
"Guatemala",80489.4110372175,6.00048747497212,0.0524856866357134,NA,NA,NA,0.0585569310488964
"Guinea",5303.42921982711,3.34382057198799,0.0680451047545998,4510.17752234932,2.81915378268651,0.0735653833894449,0.0818877422921419
"Haiti",7622.65016340288,4.77532120524475,0.0823704188378394,NA,NA,NA,0.154424855765218
"Honduras",56907.2114087653,6.38300920683303,0.0563797494845041,11520.8129435941,3.04365583065801,0.257024955644317,0.0551403098779948
"Hungary",3964.04120244261,3.46501956345134,0.0889215213504087,4036.50038181466,4.46564373396954,0.0535455629397998,0.264456389510669
"Iceland",1782.39824981172,4.31449984185605,0.176327246654716,478.784990440333,7.12623480904086,0.0717110445711923,0.177098981394757
"India",6765888.46415122,7.12237817456848,0.0409632578601068,NA,NA,NA,0.0044938873696654
"Indonesia",245161.590163357,4.77876689334315,0.0316213661459119,NA,NA,NA,0.0200839939333634
"Iran",94307.3179430111,4.55095848705817,0.110203899994625,279269.443488529,2.90522261029275,0.0431712009841402,0.0530709846663237
"Iraq",286347.379465747,7.2230347794954,0.0466179075886152,NA,NA,NA,0.0970812522257119
"Ireland",25830.5124721682,4.26197680041637,0.106323139202636,NA,NA,NA,0.150750415005225
"Israel",16392.4036204813,4.33214419245103,0.139092244811061,81068.1195792062,6.15441445217292,0.0894594925657878,0.0666344058322725
"Italy",234107.374798554,4.04540261361038,0.087354072328827,152109.532146267,4.81474418155196,0.0551270773721223,0.1474903497915
"Jamaica",NA,NA,NA,NA,NA,NA,NA
"Japan",16549.7588211383,7.82438531127865,0.123071410558864,58877.8030170583,6.73525196857695,0.0859316585915315,0.0472408101620523
"Kazakhstan",NA,NA,NA,NA,NA,NA,NA
"Kenya",44506.1507136399,6.75772237583276,0.0519136904769472,NA,NA,NA,0.0686434703148454
"Kosovo",19149.3566656422,5.99618575049603,0.0424122102363638,NA,NA,NA,0.125070527835531
"Kuwait",67873.6971640615,5.52752989731451,0.0520978797695015,16566.5208770782,2.75668400635304,0.181464812531183,0.156239870681879
"Kyrgyzstan",43306.2180244275,14.1797722128114,0.121715688636208,NA,NA,NA,1.02293143702645
"Lebanon",NA,NA,NA,NA,NA,NA,NA
"Libya",50974.5448739641,8.40067140151956,0.0546569746507353,NA,NA,NA,0.0772246619433423
"Luxembourg",3849.071055737,3.01371562266719,0.155976124444617,3829.1248523605,5.47306647928038,0.102151447253043,0.107190196046108
"Madagascar",15669.2010848516,9.10871703234644,0.0788862566052951,NA,NA,NA,0.0803329694957992
"Malawi",427.701394338477,7.27193707585131,0.291519145386604,5118.53634578144,3.60000163081828,0.0826306395841118,0.0598857237847856
"Malaysia",6372.36340820544,3.92173303378823,0.114899202048111,2242.55018558675,2.1242727324737,0.0925004201594357,0.291817658867464
"Maldives",2220.35777747481,3.03902888296004,0.0912608766116756,6468.64661003769,4.32917383318426,0.0849783936425572,0.116498414607829
"Mauritania",6640.63734328921,3.90540101270564,0.0898040356698757,NA,NA,NA,0.137174190244229
"Mexico",718779.919584551,5.01331194225098,0.0392517250642532,NA,NA,NA,0.0170531098251426
"Moldova",30054.5755233918,3.79865874538025,0.037674250675863,21681.3022911086,2.96867534098581,0.0786937538016693,0.071259759161575
"Montenegro",5040.46581746557,9.08275550906236,0.0713061854356058,555.133546611367,3.02266223282572,0.436553887424395,0.310253662960286
"Morocco",NA,NA,NA,NA,NA,NA,NA
