"","a1_Gom","b1_Gom","c1_Gom","a2_Gom","b2_Gom","c2_Gom","MSSE"
"Djibouti",1128.0305698486,13.5459931034082,0.184212006075838,4055.6840630264,8.83379747823379,0.0855599535221067,0.297786683326851
"Dominican_Republic",494048.568662661,6.45909362077858,0.00855170137893539,NA,NA,NA,0.16983806641293
"Ecuador",48988.1454848164,13.5406785903711,0.0597054508018307,118443.918981789,4.06365058921512,0.0227695268289502,0.242122915023113
"Egypt",112100.724460222,27.5626020487382,0.0340511512621252,3048.16400601485,3.81997500054763,0.143671740466285,0.0842995886516198
"El_Salvador",84767.4805979598,8.61244157027599,0.0134211859051447,NA,NA,NA,0.130574468676468
"Equatorial_Guinea",2947.66064241728,4.70783189878597,0.0329048917534641,2242.66327221699,11.3615458449761,0.112440250879057,0.688163764513623
"Estonia",1898.78917936933,4.00189378165041,0.0674196815538656,2204.7768718363,6.83464758135415,0.0198657617719944,0.16933969352105
"Eswatini",19034.0804013683,7.67683405653889,0.0133149036276841,NA,NA,NA,0.121371038670951
"Ethiopia",NA,NA,NA,NA,NA,NA,NA
"Finland",7383.64015999051,5.35176053989747,0.048543606379294,2396.75201953547,5.64965642961653,0.0313774108868849,0.0415686506876426
"France",151791.866131303,12.8922862627964,0.0683016815459696,NA,NA,NA,0.0523266231286347
"Gabon",6670.3765435779,8.3495826958406,0.0415791541654133,3268.2182572638,4.39853650457827,0.101619606183803,0.0552337099602326
"Gambia",4460.86088582977,16.3888214383044,0.0590234045678574,NA,NA,NA,0.0821943898990727
"Germany",180590.980635474,14.3623276567106,0.0745452806878976,1399965.81595517,6.08749365391248,0.00757496778606965,0.0475461237130465
"Ghana",43428.0235263288,8.2229448400109,0.0244707961451037,50878.8765569647,5.14967339509983,0.0302980387134435,0.185993331874099
"Greece",2850.21204690623,5.66663983321659,0.0704780082204438,NA,NA,NA,0.0591565014592271
"Guam",NA,NA,NA,NA,NA,NA,NA
"Guatemala",120849.422989154,12.8994670340048,0.0214593073312975,NA,NA,NA,0.055736487222193
"Guinea",6276.17204167745,4.86029846357475,0.0355876679947761,5896.66300673799,3.68763063157159,0.035255077207794,0.0421696185755357
"Haiti",7919.98435689186,14.2063803579076,0.0522180178483093,NA,NA,NA,0.0595795920180298
"Honduras",94977.959139303,13.7684124846641,0.0213995161959343,16635.0074160402,4.03249502991007,0.112747347439558,0.0782158484935273
"Hungary",4158.27220665604,6.05394515266352,0.0553830367352154,90891.8763849892,7.859340104958,0.00885367013407725,0.241709564428439
"Iceland",1815.96729584145,11.4016636180247,0.116778250676319,6308.74221832347,11.2834068070892,0.0124162150850064,0.276362903874365
"India",87187036.6786766,11.8631218644683,0.00747914118769042,NA,NA,NA,0.020439723904082
"Indonesia",798318.062003561,7.01861869205722,0.00869352994415339,NA,NA,NA,0.00835819824247097
"Iran",118567.098627586,7.94974527300873,0.0523178075272456,348087.828140306,3.86232564042367,0.0215832908923134,0.0348677921507561
"Iraq",565000.642507766,17.318639603326,0.0163054515517281,NA,NA,NA,0.0388559664273775
"Ireland",26103.4687493452,11.1084541542549,0.0707195354269672,NA,NA,NA,0.159694289740679
"Israel",17138.7761845296,10.459906340379,0.0871745882009305,125660.963469754,13.5197521657367,0.0359168342679686,0.0429769080462737
"Italy",239477.439389456,9.46556870766748,0.0574034661624439,NA,NA,NA,0.0219116461768186
"Jamaica",NA,NA,NA,NA,NA,NA,NA
"Japan",17531.5023532132,89.4251237010158,0.0759558303844071,98622.356764984,15.6933442789009,0.0325384767376513,0.095499693868303
"Kazakhstan",NA,NA,NA,NA,NA,NA,NA
"Kenya",99124.7710229865,13.0280449106183,0.0165188441884441,NA,NA,NA,0.197327776921475
"Kosovo",79700.2166904898,9.22207189771791,0.0103181278684473,NA,NA,NA,0.245977624026935
"Kuwait",82441.1292107043,14.3642546147482,0.0263783851369061,20197.2297448106,3.63855308242019,0.0934788870091968,0.0724951189272031
"Kyrgyzstan",45547.7268225402,5355.35719309766,0.076617917632336,NA,NA,NA,1.27271534445623
"Lebanon",NA,NA,NA,NA,NA,NA,NA
"Libya",NA,NA,NA,NA,NA,NA,NA
"Luxembourg",3911.15728734804,5.01820188600757,0.105045959948045,4326.72132522651,15.6462104738663,0.0556418904001005,0.0533789652358898
"Madagascar",18617.767515838,91.9469500505682,0.0405087381984384,NA,NA,NA,0.224173978298254
"Malawi",560.82861989967,29.497650675256,0.13702165086601,5847.5530233523,5.66313529271103,0.0447975633739317,0.0626411201393599
"Malaysia",6865.99624481575,7.41580340324042,0.0677932896319804,2302.4141062225,2.88806638262335,0.0620061889615719,0.214544067974514
"Maldives",2481.85617546832,4.32990015324616,0.0515740928964694,13064.4174924484,6.18313946927859,0.0289639851082569,0.0948889989012327
"Mauritania",6952.5768324686,7.95228754932383,0.0559146947807556,NA,NA,NA,0.118099475247957
"Mexico",1078940.71374205,8.70745999569782,0.0161497981177354,NA,NA,NA,0.00541780100219864
"Moldova",89476.8616375668,5.37704049467838,0.0109062668754958,33783.2559235912,3.898594164389,0.0325792610874655,0.0632391717140753
"Montenegro",7276.42507329157,58.9566904024965,0.0314976557470442,764.535916492068,4.02961837100174,0.199794686880106,0.376243567584246
"Morocco",NA,NA,NA,NA,NA,NA,NA
"Mozambique",87202.3591644486,7.53556268500374,0.0066400522610964,NA,NA,NA,0.0682565981731368
"Namibia",333497.192169376,7.85329409416244,0.00975850320529199,NA,NA,NA,0.0363075964694163
"Nepal",23759.6419393393,21.5334012746096,0.0520685759200057,114201.076799354,5.9904942985632,0.0268965437423314,0.108646942853557
"Netherlands",49107.7894143193,7.99127309944843,0.0590259653492765,38774.5904081554,7.21019757425432,0.0404762552459773,0.0431718043793325
"New_Zealand",1127.10353999482,6.12020277186411,0.159762142827766,NA,NA,NA,0.00973950271015046
"Nicaragua",4915.05703527728,2.63427376563212,0.0300404775471298,NA,NA,NA,0.160273902845655
"Nigeria",73615.8370321824,8.65259063741711,0.0208477491009575,NA,NA,NA,0.0222030227980787
"North_Macedonia",1874.5591795506,4.97739873548524,0.0663849412836009,15364.7097053305,6.10983321118176,0.0278093225721453,0.0358253840572962
"Norway",8618.03918842556,5.77812810946472,0.0679842719830161,2843.99249132782,6.8780667724185,0.0507175987719658,0.0811768149971456
"Oman",100763.299640093,28.3321205313942,0.0334357440904118,NA,NA,NA,0.175055613222305
"Pakistan",313983.32805223,28.453048757832,0.0386491932647284,NA,NA,NA,0.136615302392062
"Palestine",42050.0662861313,59.6946253882515,0.029850787785949,NA,NA,NA,0.0632521033261139
"Panama",260971.524205786,7.28723272577675,0.011647301302399,NA,NA,NA,0.0597785778771547
"Paraguay",NA,NA,NA,NA,NA,NA,NA
"Peru",446214.465541528,10.7987431820648,0.0290198546758883,846683.962712787,4.36416508183585,0.0264204718344567,0.032069655978013
"Philippines",NA,NA,NA,NA,NA,NA,NA
"Poland",47514.4285866129,4.51899561713099,0.0230753131941238,64104.7073879931,4.50535124434666,0.0308439574305933,0.0360908075878773
"Portugal",29936.8950820895,7.65381137451574,0.0699330629367661,29015.3917908761,3.65950518988048,0.034255396627503,0.0214730962799301
"Puerto_Rico",65040.0602212441,5.41677488287461,0.00961890965163875,50324.6920334825,5.51716690194007,0.0300789368206679,0.0745454914733233
"Qatar",120095.616386371,18.2529959681464,0.0377900764038298,NA,NA,NA,0.0332963487687558
"Romania",21563.1947479253,6.51066670194114,0.0465832775836293,216103.498279759,6.09509790935866,0.0177427216629719,0.0317947622462811
"Russia",1057244.67471882,7.54902871507231,0.0247317785379592,NA,NA,NA,0.0380146067930127
"Rwanda",160397.389247794,8.34579044628021,0.00481850945278723,NA,NA,NA,0.651178020925684
"Saudi_Arabia",375527.337719484,11.0682448028789,0.0244119384727739,NA,NA,NA,0.058869053727524
"Senegal",19817.4518873612,5.82064259616023,0.0160732545780762,NA,NA,NA,0.0394742108462726
"Serbia",11544.5233324093,11.9675595894008,0.0755480598798383,24299.8019216408,7.87567556289982,0.0407896229582082,0.0300573908703921
"Singapore",46555.2356122045,44.917607361752,0.0451276515865513,13163.086202573,4.85920146998463,0.0771979983347461,0.081067610933618
"Slovakia",1564.72141344361,6.49936927283567,0.07328902187088,74539.1570417538,8.06695656160936,0.00909462812576039,0.199448032094551
"South_Africa",787210.610977538,75.3164905430649,0.0351322210632837,NA,NA,NA,0.123056400193836
"South_Korea",10364.8855006233,5.46890429649626,0.114659007524715,NA,NA,NA,0.188891727825744
"South_Sudan",2147.1871518984,7.86440183434409,0.0767300457232269,373.364459499653,5.14589505324878,0.119942693738728,0.222028330897853
"Spain",237938.984573087,13.3300232447246,0.0784102695816475,NA,NA,NA,0.0279338466194096
"Sudan",12339.0732966645,6.43423285101427,0.041007989887957,1902.25606999468,4.43263354046221,0.096921643341672,0.0612221716392564
"Suriname",29831.0627477643,6.38390592949907,0.0127914662288561,NA,NA,NA,0.0791728370271524
"Sweden",124252.724835404,5.21755927206672,0.0170202016780915,11067.5839136984,3.93080726463872,0.0759189481282111,0.110892704454565
"Switzerland",30687.3317802327,11.6363669637646,0.0936272306790861,56221.8662097551,6.36374802990252,0.0145939557417252,0.0491302644522785
"Syria",NA,NA,NA,NA,NA,NA,NA
"Tajikistan",8127.35604375061,3.20647423228516,0.0398660254993384,NA,NA,NA,0.166499826017123
"Thailand",3154.11860490837,9.37390781352244,0.0896783992099444,NA,NA,NA,0.220907456275208
"Trinidad_and_Tobago",NA,NA,NA,NA,NA,NA,NA
"Tunisia",1038.20627766635,4.58571473010471,0.091474945313241,NA,NA,NA,0.0305588390829901
"Turkey",207933.58850135,4.52401679870243,0.0408882022282412,68974.9479674408,3.64749448848553,0.0517128024064161,0.145241120105661
"Uganda",1188.03771925495,19.7095425381314,0.0514415422154063,NA,NA,NA,0.179959860568133
"Ukraine",NA,NA,NA,NA,NA,NA,NA
"United_Arab_Emirates",67678.3663998817,8.25815195351169,0.0282778016645828,13578.4568466601,4.05061667631818,0.0755993141008341,0.0398165369720499
"United_Kingdom",291405.685235738,9.49167781743626,0.045836471017809,99004.9489982634,3.91478245923064,0.0286118577256758,0.0251241604433823
"United_States_of_America",1987478.84368362,13.0914590418083,0.0439498649075361,5952114.15755637,4.89237410217747,0.0283730358213349,0.0230935353651733
"Uzbekistan",788275.676534622,9.15654423057326,0.00719994918016366,NA,NA,NA,0.214781901089038
"Venezuela",3551978.5883948,12.7689715914361,0.00665594591399436,NA,NA,NA,0.162656482265644
"Zambia",31660320.7298581,13.147964495192,0.00381262352771486,NA,NA,NA,0.462754485138438
"Zimbabwe",10189.0968706479,14.4419935368672,0.0338183206051719,NA,NA,NA,0.198295977815682
