,(Intercept),log(Days_after_first_Case),Days_after_first_Case,(Intercept)_smoothing,log(Days_after_first_Case)_smoothing,Days_after_first_Case_smoothing
Egypt,-18.10020125,6.276161879,-0.039812727,-17.97386585,6.200668874,-0.037885945
El_Salvador,-1.354453167,1.040428778,0.017940577,6.130170219,-1.468620795,0.058470951
Eritrea,NA,NA,NA,NA,NA,NA
Estonia,-0.985589041,2.026332951,-0.074029395,-1.648757587,2.267214242,-0.078805345
Eswatini,-1.41353112,0.289429443,0.032150141,0.346702939,-0.247188393,0.038405806
Ethiopia,-18.63065955,5.985989973,-0.039890008,1.673488309,-0.172572414,0.039462767
Falkland_Islands_(Malvinas),NA,NA,NA,NA,NA,NA
Faroe_Islands,NA,NA,NA,NA,NA,NA
Fiji,NA,NA,NA,NA,NA,NA
Finland,-29.74777125,10.49671382,-0.143014644,-31.06736537,10.85003475,-0.145708705
France,-22.4258738,9.004784715,-0.114647173,-23.92463508,9.419067338,-0.11850164
French_Polynesia,NA,NA,NA,NA,NA,NA
Gabon,-21.72827147,7.615663005,-0.088650614,-22.46406842,7.793449999,-0.089274288
Gambia,NA,NA,NA,NA,NA,NA
Georgia,-3.912487745,2.191661746,-0.04345661,-4.520432667,2.38162221,-0.046013879
Germany,-24.40006581,9.915257642,-0.137041668,-25.87525386,10.32271977,-0.140715612
Ghana,-0.624446968,1.260579955,0.00806452,4.134045532,-0.285914978,0.031218128
Gibraltar,NA,NA,NA,NA,NA,NA
Greece,1.269737084,1.030781939,-0.031725048,0.819431911,1.195798035,-0.035154872
Greenland,NA,NA,NA,NA,NA,NA
Grenada,NA,NA,NA,NA,NA,NA
Guam,2.551574905,-0.72652069,0.01955058,2.354088527,-0.63642985,0.017206621
Guatemala,-5.857096778,2.401487463,0.01097315,-6.067837716,2.446232337,0.010639562
Guernsey,NA,NA,NA,NA,NA,NA
Guinea,-6.952364872,3.5600485,-0.054258839,-8.267280549,3.985579992,-0.06114607
Guinea_Bissau,-8.665517946,4.135867458,-0.081989315,2.391204618,0.17754904,-0.002957013
Guyana,NA,NA,NA,NA,NA,NA
Haiti,-44.44442795,14.49373679,-0.176926111,-44.45854681,14.41739609,-0.172717589
Holy_See,NA,NA,NA,NA,NA,NA
Honduras,-0.619956631,0.8564702,0.028899235,-0.3281083,0.719399961,0.03214053
Hungary,-5.420870416,3.596040399,-0.087643408,3.923802756,0.176439406,-0.017489253
Iceland,-2.785627173,3.000019394,-0.118422062,-3.718001012,3.345834646,-0.125671933
India,-18.45481475,6.081538612,-0.014687248,-19.34511085,6.297798764,-0.016175344
Indonesia,2.072463997,0.815373119,0.010963081,1.621488536,0.959461585,0.008497214
Iran,3.866019107,1.01954587,-0.008265582,3.623717739,1.085901625,-0.008893864
Iraq,0.302987738,0.338543659,0.045474918,0.53592816,0.233751601,0.047450115
Ireland,-12.35895462,6.845806733,-0.161759205,-13.64147103,7.244155991,-0.166720414
Isle_of_Man,-2.097355821,2.693060967,-0.172292005,0.080055263,1.568713534,-0.119761651
Israel,3.795629956,0.289966113,0.006887109,3.465737401,0.41391939,0.004079883
Italy,-20.17035304,9.055186622,-0.141763952,-21.40087409,9.396194327,-0.144689394
Jamaica,-2.466699269,1.703634699,-0.038910873,4.311500824,-0.842195771,0.013716438
Jersey,0.893473707,0.867508592,-0.070850593,4.551141304,-0.863804456,-0.012640091
Jordan,2.182370477,0.058424495,-0.002140082,1.992973304,0.115986962,-0.002648027
Kazakhstan,3.951604961,-0.507015186,0.053547318,3.959844159,-0.541752026,0.054735948
Kenya,-0.654800208,0.611770162,0.029557464,6.940986117,-1.891961154,0.067760005
Kosovo,2.797515447,-0.513126119,0.038014401,5.333163593,-1.378549145,0.05174328
Kuwait,-19.63896373,7.195748208,-0.068508631,-21.12725413,7.603649286,-0.072422774
Kyrgyzstan,3.418703324,-0.83597736,0.058172699,6.187615505,-1.772860804,0.073013609
Laos,NA,NA,NA,NA,NA,NA
Latvia,-0.428388458,1.506630387,-0.056470461,-1.102291204,1.765607853,-0.062531159
Lebanon,0.952838847,0.431653476,-0.000321779,0.597315106,0.561049026,-0.003056695
Lesotho,NA,NA,NA,NA,NA,NA
Liberia,-1.053282092,0.481727732,0.016431867,1.99987257,-0.556892792,0.033598348
Libya,0.630960157,-0.560920268,0.056649912,2.452225971,-1.177399671,0.066497211
Liechtenstein,NA,NA,NA,NA,NA,NA
Lithuania,-1.1469807,1.988458997,-0.067504671,-1.692665232,2.176166829,-0.070607012
Luxembourg,2.82275522,0.795981625,-0.041013797,2.376114469,0.983403777,-0.046224476
Madagascar,1.869984739,-0.61243667,0.055375646,3.460548312,-1.145270738,0.063537743
Malawi,-0.768188623,0.083264679,0.050440941,4.512792483,-1.758928706,0.083905095
Malaysia,-22.11885373,8.076753992,-0.105337438,-23.12220345,8.340870748,-0.107192967
