"","(Intercept)_1","log(Days_after_first_Case)_1","Days_after_first_Case_1","(Intercept)_2","log(Days_after_first_Case)_2","Days_after_first_Case_2","psi","(Intercept)_1_s","log(Days_after_first_Case)_1_s","Days_after_first_Case_1_s","(Intercept)_2_s","log(Days_after_first_Case)_2_s","Days_after_first_Case_2_s","psi_s"
"Dominica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dominican_Republic",-0.960516094618264,2.00867861241801,-0.0255169378793766,3.09722055223511,0.0762522939951306,0.0282275403489143,85,-0.715265252898704,1.90577609783042,-0.0225117431181183,18.6787777798005,-4.15726620083514,0.0673587447086037,90
"Ecuador",-12.1612432424458,6.38603127311382,-0.120144325096365,3.40412698254491,0.266460548195711,0.0167835092543081,86,2.90205988660486,-0.140350978084194,0.0972832450579628,38.5283282359628,-9.36991288818976,0.108604746542638,55
"Egypt",-13.5487327291695,5.50656555868033,-0.0668658115700622,-49.6724916306565,14.879303762422,-0.119133101895002,65,-9.17897302395923,3.80957135011881,-0.0218371275387601,-64.9541346132059,18.974539903738,-0.154868577425566,73
"El_Salvador",0.302724718991928,0.0046167885930834,0.071540186077816,14.2784306227768,-3.5409934241816,0.0721855163927486,47,-0.916284938142852,0.658938106418903,0.0569170239301632,-1.42091215165484,1.06101703700168,0.0176573608982669,19
"Eritrea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Estonia",-4.46441515943496,3.69260237505011,-0.140039699660884,-49.0902185496717,15.0258284080082,-0.18503560617141,63,-4.46007117239988,3.69057539652697,-0.139962524339939,-55.2204514218479,16.7495429071764,-0.202910989278977,70
"Eswatini",-0.264713184502189,-1.0939326891495,0.134587208382444,24.6356982410543,-7.3609248155863,0.122621654831053,42,-0.326369800946171,-1.09736625295622,0.141024870280974,22.0248594015183,-6.61435082880877,0.11445746545596,50
"Ethiopia",-1.09996841536236,0.708232599897599,-0.000581424999541614,-76.0845800869935,22.5196498042371,-0.224963065759272,42,0.0467551094603689,-0.0793513192439602,0.0123689888447532,-30.3051670028667,9.39949849191686,-0.0799065843638554,16
"Falkland_Islands_(Malvinas)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
