,(Intercept),log(Days_after_first_Case),Days_after_first_Case,(Intercept)_smoothing,log(Days_after_first_Case)_smoothing,Days_after_first_Case_smoothing
Cuba,-1.986323735,2.25759721,-0.066111808,2.936329541,0.375612427,-0.022865806
Curacao,NA,NA,NA,NA,NA,NA
Cyprus,0.014745525,1.518666134,-0.072521451,-2.27727036,2.355111134,-0.088213963
Czechia,2.393357236,0.910297063,-0.021403732,1.179391984,1.301557706,-0.027277514
Democratic_Republic_of_the_Congo,-6.998575362,3.078585589,-0.023723854,4.101362525,-0.543763454,0.03162198
Denmark,-2.573417401,2.883615693,-0.068575525,-4.80376001,3.55062122,-0.075500534
Djibouti,-7.23817683,3.74648786,-0.063619333,-3.826963177,2.528730972,-0.039881007
Dominica,NA,NA,NA,NA,NA,NA
Dominican_Republic,2.022816341,0.778074357,0.007582308,0.806255406,1.138173938,0.002283735
Ecuador,-1.657450031,2.519883898,-0.033947759,-3.967483958,3.201601136,-0.042274941
Egypt,-18.10020125,6.276161879,-0.039812727,-17.42221751,5.93206601,-0.031975914
El_Salvador,-1.354453167,1.040428778,0.017940577,7.46407101,-1.627584688,0.051010402
Eritrea,NA,NA,NA,NA,NA,NA
Estonia,-0.985589041,2.026332951,-0.074029395,-3.288655903,2.810863447,-0.086414788
Eswatini,-1.41353112,0.289429443,0.032150141,0.464927662,-0.266561172,0.036718545
Ethiopia,-18.63065955,5.985989973,-0.039890008,3.472607967,-0.776603347,0.04833871
Falkland_Islands_(Malvinas),NA,NA,NA,NA,NA,NA
Faroe_Islands,NA,NA,NA,NA,NA,NA
Fiji,NA,NA,NA,NA,NA,NA
Finland,-29.74777125,10.49671382,-0.143014644,-34.41088823,11.71252636,-0.150914845
France,-22.4258738,9.004784715,-0.114647173,-28.29086452,10.60851042,-0.128934042
French_Polynesia,NA,NA,NA,NA,NA,NA
Gabon,-21.72827147,7.615663005,-0.088650614,-24.13942084,8.163340271,-0.089060147
Gambia,NA,NA,NA,NA,NA,NA
Georgia,-3.912487745,2.191661746,-0.04345661,-6.233038309,2.902182016,-0.052448911
Germany,-24.40006581,9.915257642,-0.137041668,-30.00847638,11.4414372,-0.149900728
Ghana,-0.624446968,1.260579955,0.00806452,5.699404103,-0.774281612,0.036829193
Gibraltar,NA,NA,NA,NA,NA,NA
Greece,1.269737084,1.030781939,-0.031725048,-0.451614924,1.63463352,-0.042984388
Greenland,NA,NA,NA,NA,NA,NA
Grenada,NA,NA,NA,NA,NA,NA
Guam,2.551574905,-0.72652069,0.01955058,1.872070492,-0.432877577,0.012071646
Guatemala,-5.857096778,2.401487463,0.01097315,-5.534930732,2.215361981,0.014877218
Guernsey,NA,NA,NA,NA,NA,NA
Guinea,-6.952364872,3.5600485,-0.054258839,-10.48400324,4.629297884,-0.068330894
Guinea_Bissau,-8.665517946,4.135867458,-0.081989315,3.375099528,-0.177519873,0.004169906
Guyana,NA,NA,NA,NA,NA,NA
Haiti,-44.44442795,14.49373679,-0.176926111,-27.31812509,9.08051594,-0.097030736
Holy_See,NA,NA,NA,NA,NA,NA
Honduras,-0.619956631,0.8564702,0.028899235,-0.190334758,0.586175514,0.036006482
Hungary,-5.420870416,3.596040399,-0.087643408,6.545414095,-0.75829592,0.000513599
Iceland,-2.785627173,3.000019394,-0.118422062,-6.88207497,4.499196314,-0.14936205
India,-18.45481475,6.081538612,-0.014687248,-21.64839309,6.84462929,-0.019654371
Indonesia,2.072463997,0.815373119,0.010963081,0.799604308,1.18258134,0.005867244
Iran,3.866019107,1.01954587,-0.008265582,2.85940276,1.297736381,-0.011055927
Iraq,0.302987738,0.338543659,0.045474918,1.237097079,-0.078779769,0.053239904
Ireland,-12.35895462,6.845806733,-0.161759205,-16.9757923,8.230827539,-0.176284468
Isle_of_Man,-2.097355821,2.693060967,-0.172292005,0.683412731,1.208058419,-0.096634968
Israel,3.795629956,0.289966113,0.006887109,2.328805425,0.825900773,-0.004613621
Italy,-20.17035304,9.055186622,-0.141763952,-24.82427773,10.32221521,-0.15167663
Jamaica,-2.466699269,1.703634699,-0.038910873,5.506837058,-1.067999369,0.01101759
Jersey,0.893473707,0.867508592,-0.070850593,5.450555171,-0.776383664,-0.035737861
Jordan,2.182370477,0.058424495,-0.002140082,1.564704368,0.238347354,-0.003525296
Kazakhstan,3.951604961,-0.507015186,0.053547318,4.191062762,-0.735203954,0.060449515
Kenya,-0.654800208,0.611770162,0.029557464,7.840301437,-1.698525817,0.048975616
Kosovo,2.797515447,-0.513126119,0.038014401,6.089244796,-1.405715074,0.043754289
Kuwait,-19.63896373,7.195748208,-0.068508631,-24.61571299,8.524278261,-0.080029873
Kyrgyzstan,3.418703324,-0.83597736,0.058172699,7.117392427,-1.749098204,0.060906817
Laos,NA,NA,NA,NA,NA,NA
Latvia,-0.428388458,1.506630387,-0.056470461,-2.76945613,2.348032458,-0.072832966
Lebanon,0.952838847,0.431653476,-0.000321779,-0.111023595,0.779578343,-0.00626078
Lesotho,NA,NA,NA,NA,NA,NA
Liberia,-1.053282092,0.481727732,0.016431867,2.636114559,-0.769111934,0.036473799
Libya,0.630960157,-0.560920268,0.056649912,3.362153912,-1.4019187,0.065883215
Liechtenstein,NA,NA,NA,NA,NA,NA
Lithuania,-1.1469807,1.988458997,-0.067504671,-3.300724541,2.709394426,-0.078451691
Luxembourg,2.82275522,0.795981625,-0.041013797,0.958811339,1.544496286,-0.060155012
Madagascar,1.869984739,-0.61243667,0.055375646,4.183174148,-1.262175898,0.059342828
Malawi,-0.768188623,0.083264679,0.050440941,5.798107139,-1.791263235,0.068949611
Malaysia,-22.11885373,8.076753992,-0.105337438,-25.70615507,8.999566275,-0.11098015
Maldives,-17.37960609,6.392789248,-0.087419179,-10.24003034,4.074045204,-0.051441963
Mali,-1.494644717,1.539687163,-0.024043636,1.755455373,0.311386108,0.0026612
Malta,-0.798501751,1.39408793,-0.051102851,1.356287894,0.523950867,-0.028627015
Mauritania,-82.70769524,24.02811528,-0.230474642,-60.49651001,17.29533164,-0.143663927
Mauritius,1.13144908,1.290932107,-0.136931212,4.621196089,-0.434219136,-0.056546187
Mexico,-5.112863596,3.261985173,-0.015059541,-7.232677907,3.808953047,-0.019759552
Moldova,-0.318288819,1.406489601,-0.006597056,9.171479867,-1.458126006,0.029203981
Monaco,NA,NA,NA,NA,NA,NA
Mongolia,NA,NA,NA,NA,NA,NA
Montenegro,3.489806872,-1.218621379,0.050387917,2.945722916,-0.841640293,0.034344857
Montserrat,NA,NA,NA,NA,NA,NA
Morocco,1.575588283,0.826400587,-0.00199253,0.421622069,1.174463693,-0.007053011
Mozambique,-2.771096299,1.021808563,0.012316131,6.051603866,-1.636750118,0.045345433
Myanmar,-0.268613586,0.684671882,-0.022628148,2.906066928,-0.523637395,0.004111161
Namibia,1.39090555,-2.716116643,0.133019468,2.060765353,-2.950659315,0.133887642
Netherlands,-3.304745234,3.72295282,-0.089954033,-6.00514263,4.534277891,-0.098474778
New_Caledonia,NA,NA,NA,NA,NA,NA
Nicaragua,-48.43350205,15.0590225,-0.169063672,-31.64653743,9.904760757,-0.099568647
Niger,0.081114201,1.398101014,-0.06069243,3.276340448,0.102686713,-0.025985729
Nigeria,-9.141698479,3.897561541,-0.025817903,-10.15994731,4.078393547,-0.024363832
North_Macedonia,1.624528135,0.23878341,0.018903828,1.180017008,0.319782591,0.019008485
Northern_Mariana_Islands,NA,NA,NA,NA,NA,NA
Norway,-0.822594286,2.488589569,-0.081734554,-3.166562524,3.251448337,-0.091911303
Oman,-9.744607185,3.700692677,-0.007372195,-10.82699839,3.899563088,-0.006890591
Pakistan,-11.77300517,5.184876022,-0.038992335,-12.06777757,5.120849555,-0.033583469
Palestine,3.689077009,-1.743816354,0.086070274,8.608805824,-1.786791158,0.038724392
Panama,3.191396874,0.231405377,0.021769786,5.656520581,-0.602895883,0.034368239
Papua_New_Guinea,NA,NA,NA,NA,NA,NA
Paraguay,0.370307332,0.300230483,0.019469096,-0.257406674,0.438885167,0.018745543
Peru,-12.40953559,5.993837048,-0.068050483,-14.04585507,6.370796262,-0.06889247
Philippines,-0.900011946,1.085393788,0.016274516,-3.998126731,1.98840607,0.005182305
Poland,-0.229096753,1.929078332,-0.028107623,7.312947812,-0.647087951,0.015304192
Portugal,1.727742644,1.548200581,-0.031035012,3.106803383,1.044068155,-0.021274309
Qatar,-15.73455131,6.696219362,-0.078883386,-18.38666384,7.34090575,-0.081452228
Romania,-0.281032218,1.767100525,-0.021414336,-2.387648263,2.415590795,-0.030579113
Russia,-47.64840471,15.11093432,-0.128564316,-54.85033565,16.90934797,-0.14025905
Rwanda,1.711109847,-0.386579048,0.030432142,9.216667123,-1.200090056,-0.030203677
Saint_Kitts_and_Nevis,NA,NA,NA,NA,NA,NA
Saint_Lucia,NA,NA,NA,NA,NA,NA
Saint_Vincent_and_the_Grenadines,NA,NA,NA,NA,NA,NA
San_Marino,-1.370460698,1.605818217,-0.053964251,-3.432140545,2.289150317,-0.063890667
Sao_Tome_and_Principe,-9.667432947,4.562974929,-0.110888415,-9.63689322,4.372341727,-0.096826875
Saudi_Arabia,-5.772746983,3.552822353,-0.024903707,-7.171205166,3.868362928,-0.025820673
Senegal,-4.395961191,2.36753451,-0.018314235,8.63074598,-1.525596026,0.028975702
Serbia,1.917807229,1.068753262,-0.018595699,2.759728726,0.787687433,-0.014960383
Seychelles,NA,NA,NA,NA,NA,NA
Sierra_Leone,-7.392903686,3.459516541,-0.059245716,-0.243034521,0.881389141,-0.00689714
Singapore,-54.52526183,16.60114338,-0.154127599,-61.77374071,18.39787257,-0.164922114
Sint_Maarten,NA,NA,NA,NA,NA,NA
Slovakia,0.738806725,1.053025264,-0.035933684,-1.591356203,1.926363305,-0.055441426
Slovenia,2.559197278,0.445713293,-0.029360097,2.452686424,0.538975273,-0.034215045
Somalia,-16.07536492,6.417314658,-0.104118772,-2.247369274,1.788997582,-0.025331585
South_Africa,2.011022593,0.318233199,0.04646397,1.867227492,0.296084884,0.047000261
South_Korea,-2.567793597,2.619658902,-0.051369632,-4.740871861,3.273318115,-0.059065061
South_Sudan,-28.37239344,10.69477364,-0.191919272,2.944030857,-0.15924199,0.01539999
Spain,-22.53325194,9.814153752,-0.152873349,-28.83611201,11.59118582,-0.169963179
Sudan,-33.4386885,11.43056558,-0.142600247,-0.652061861,1.234359064,-0.000197116
Suriname,-0.472580574,-0.608620841,0.06160077,4.993811399,-1.85136338,0.062253182
Sweden,-9.777959733,4.191390496,-0.029829074,-10.2701535,4.232237353,-0.027485601
Switzerland,-2.43766406,3.600502378,-0.108147043,-6.233641479,4.877086936,-0.129054564
Syria,0.324215421,-0.361251832,0.034458244,4.898886071,-1.580180928,0.043453462
Taiwan,-15.66143776,5.836311011,-0.103602622,-21.60681407,7.595977003,-0.123691321
Tajikistan,2.084512484,1.392862536,-0.064385067,-0.325931075,2.310804075,-0.085460751
Thailand,-42.15203047,14.12566932,-0.19539947,-50.48653363,16.39230096,-0.214449056
Timor_Leste,NA,NA,NA,NA,NA,NA
Togo,-2.715345765,1.360531265,-0.014785808,-4.208852098,1.780590123,-0.01891552
Trinidad_and_Tobago,NA,NA,NA,NA,NA,NA
Turkey,3.199111267,1.813266763,-0.047088509,1.37342731,2.395351962,-0.055189487
Turks_and_Caicos_islands,NA,NA,NA,NA,NA,NA
Uganda,-2.053217481,1.16111208,-0.004634587,-2.024813786,1.081116993,-0.001097977
Ukraine,0.746845431,1.430571173,-0.00762159,-0.019476482,1.617683618,-0.008905914
United_Arab_Emirates,-32.46475422,10.50958324,-0.094165907,-39.1857336,12.2575687,-0.107747298
United_Kingdom,-34.78950246,12.50109298,-0.143546689,-39.95440535,13.81041527,-0.151551862
United_Republic_of_Tanzania,-21.25757218,9.497381971,-0.274909035,6.540795521,-0.963054948,-0.02488486
United_States_of_America,-9.109634199,4.914845635,-0.033811975,-14.02625539,6.238246119,-0.045798932
United_States_Virgin_Islands,NA,NA,NA,NA,NA,NA
Uruguay,2.879139174,0.017122878,-0.016349315,2.429883888,0.212751408,-0.020885561
Uzbekistan,3.078994139,-0.144076544,0.029061224,2.529401052,0.035640856,0.024732461
Venezuela,1.937905501,-0.356656778,0.04837323,6.382785637,-1.642157653,0.061323084
Vietnam,-6.16131777,2.491556889,-0.0437733,-9.457678647,3.493437159,-0.056256188
Western_Sahara,0.257451231,-1.073735887,0.107773473,1.654724375,-2.380739335,0.168333956
Yemen,-16.20272348,6.033955495,-0.087459948,-3.79714138,1.705931848,-0.004516035
Zambia,-6.943412316,2.963908166,-0.034893722,1.389673248,0.199995596,0.009020145
Zimbabwe,-1.20163344,0.025698273,0.042358055,4.095960942,-1.470717112,0.055272107
