"","a1_Logi","b1_Logi","c1_Logi","a2_Logi","b2_Logi","c2_Logi","startpoint","breakpoint"
"Lithuania",1762.96864943108,2.04918311230736,0.087178362798393,1549.04572883825,11.9144451070697,0.0760749354424716,84,185
"Luxembourg",3842.91869002922,2.67305919075021,0.153039931955672,3788.85710427876,13.7655358034626,0.103957690198584,79,161
"Madagascar",15668.0785301919,8.89824645528564,0.0790726898906451,NA,NA,NA,97,NA
"Malawi",412.534010605937,6.94102629219449,0.316355056874636,5048.01569224534,6.10876888939394,0.0841242967155327,135,167
"Malaysia",6466.73248818565,3.52342700998739,0.111355237324529,2139.80849947031,8.41485849303322,0.0904737515584282,69,141
"Maldives",2238.40789635732,2.76981953593715,0.089171776467734,6135.40065943068,10.3998719616419,0.089631396287426,115,184
"Mali",NA,NA,NA,NA,NA,NA,NA,NA
"Malta",612.947027426297,1.85822738635431,0.0627178982357661,1217.9122699267,26.7643089798491,0.177682778424224,84,197
"Mauritania",6593.97813913663,3.67919834253624,0.0908043798894783,NA,NA,NA,143,NA
"Mauritius",NA,NA,NA,NA,NA,NA,NA,NA
"Mexico",681824.164191669,5.05129200846064,0.0401501186312847,NA,NA,NA,80,NA
"Moldova",29644.0183217549,3.71648588856291,0.0378251613357916,19901.0287718387,12.552259153188,0.0858587416079858,84,196
"Monaco",NA,NA,NA,NA,NA,NA,NA,NA
"Mongolia",NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",4803.34351029295,9.36253025986447,0.0760416537224933,NA,NA,NA,90,NA
"Montserrat",NA,NA,NA,NA,NA,NA,NA,NA
"Morocco",NA,NA,NA,NA,NA,NA,83,NA
"Mozambique",8377.57860569917,4.65292809973445,0.0341336738957679,NA,NA,NA,119,NA
"Myanmar",NA,NA,NA,NA,NA,NA,NA,NA
"Namibia",19517.2538136554,4.53308785968348,0.0558203993066446,NA,NA,NA,177,NA
"Nepal",18579.2849108587,6.36491798291539,0.111112809569945,26823.6676944093,13.294868689188,0.112145213295231,122,205
"Netherlands",47908.8285914464,3.63679236491451,0.0908676202590542,21061.8420089446,18.9418530664556,0.116042186559352,69,193
"New_Caledonia",NA,NA,NA,NA,NA,NA,NA,NA
"New_Zealand",1090.57236430771,2.66945285601889,0.235375803295092,NA,NA,NA,85,160
"Nicaragua",4460.928134477,2.04572333167074,0.0497495015559785,NA,NA,NA,145,245
"Niger",636.365746467521,2.72468120097809,0.311208358137464,450.43420785995,2.94016663766761,0.0478674595216777,97,125
"Nigeria",56550.142247556,4.63680953723128,0.0451048816555966,NA,NA,NA,90,NA
"North_Macedonia",1540.64910140089,3.29610619359991,0.134005455725747,12532.6225888804,6.39326105139311,0.0556981959905909,84,132
"Northern_Mariana_Islands",NA,NA,NA,NA,NA,NA,NA,NA
"Norway",8471.55434009415,2.93015300258855,0.100874970326563,1652.8582359011,23.0254577016543,0.140365575850258,69,202
"Oman",89347.7419767398,6.40652645366786,0.0615226519916681,NA,NA,NA,86,NA
"Pakistan",294272.774434791,6.09748978508595,0.0648248472382094,NA,NA,NA,79,NA
"Palestine",29625.8853305691,9.08159499863966,0.0680239777107314,NA,NA,NA,85,NA
"Panama",117424.143750915,4.83211799763771,0.0363442828204389,NA,NA,NA,80,NA
"Papua_New_Guinea",NA,NA,NA,NA,NA,NA,NA,NA
"Paraguay",NA,NA,NA,NA,NA,NA,92,NA
"Peru",319744.562962353,5.27974384841445,0.0668469413733126,420849.552823625,11.9929428730923,0.0787777646797876,79,190
"Philippines",NA,NA,NA,NA,NA,NA,76,NA
"Poland",38439.2209507061,3.14587709830526,0.0460522946722851,34399.1052201155,13.5441296523341,0.0886115341252122,77,192
"Portugal",28186.4728118726,3.66918421044254,0.114844232896542,26306.3350852704,6.71728087271156,0.0584102591222641,75,145
"Puerto_Rico",12623.2376241006,3.44291198860092,0.0403029311385403,29699.1204258728,10.8577571891133,0.0807521932450191,92,179
"Qatar",114014.074234344,5.32685900770943,0.0618490342494333,NA,NA,NA,73,NA
"Romania",19070.5364469402,3.66289690897676,0.0845740530290313,85453.1320889257,9.05241172865445,0.0594259512320046,76,157
"Russia",941311.015571374,3.92742645268174,0.0443230120791756,NA,NA,NA,79,NA
"Rwanda",6270.43518436414,4.75789451107618,0.0306326966596769,NA,NA,NA,91,NA
"Saint_Kitts_and_Nevis",NA,NA,NA,NA,NA,NA,NA,NA
"Saint_Lucia",NA,NA,NA,NA,NA,NA,NA,NA
"Saint_Vincent_and_the_Grenadines",NA,NA,NA,NA,NA,NA,NA,NA
"San_Marino",NA,NA,NA,NA,NA,NA,NA,NA
"Sao_Tome_and_Principe",NA,NA,NA,NA,NA,NA,NA,NA
"Saudi_Arabia",320074.359698262,4.88386623266631,0.0474914766725905,NA,NA,NA,77,NA
"Senegal",14392.5955595881,3.83908285219955,0.035903209567654,NA,NA,NA,85,NA
"Serbia",10955.4802331691,4.26538926868993,0.123308334219196,20369.0314689765,10.3706679787538,0.080554481110805,80,157
