"","a1_Gom","b1_Gom","c1_Gom","a2_Gom","b2_Gom","c2_Gom","startpoint","breakpoint"
"Malaysia",6924.05215549892,5.99215147077547,0.0667111287584706,2192.60481915442,230.421454537972,0.062407378720962,69,141
"Maldives",2471.77453904525,3.79869226590162,0.0516445852837739,11817.3583038378,52.208347908895,0.0314037906555943,115,184
"Mali",NA,NA,NA,NA,NA,NA,NA,NA
"Malta",628.129143945029,2.55593676408055,0.0447289147554698,NA,NA,NA,84,197
"Mauritania",6903.0953128601,6.93697557831038,0.05664578903548,NA,NA,NA,143,NA
"Mauritius",NA,NA,NA,NA,NA,NA,NA,NA
"Mexico",1103468.15793556,8.50912181454429,0.0156662542536684,NA,NA,NA,80,NA
"Moldova",81170.0965054715,5.20113379557987,0.0113265203062321,30001.4865295047,228.329355963708,0.036456516380622,84,196
"Monaco",NA,NA,NA,NA,NA,NA,NA,NA
"Mongolia",NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",5721.38938400516,123.962747530238,0.0403892905336905,NA,NA,NA,90,NA
"Montserrat",NA,NA,NA,NA,NA,NA,NA,NA
"Morocco",NA,NA,NA,NA,NA,NA,NA,NA
"Mozambique",NA,NA,NA,NA,NA,NA,NA,NA
"Myanmar",NA,NA,NA,NA,NA,NA,NA,NA
"Namibia",NA,NA,NA,NA,NA,NA,NA,NA
"Nepal",22224.0876206133,21.1580053861862,0.055949313259237,NA,NA,NA,122,205
"Netherlands",49233.2553926715,7.02828329222598,0.0585565910908657,NA,NA,NA,69,193
"New_Caledonia",NA,NA,NA,NA,NA,NA,NA,NA
"New_Zealand",1098.45985541059,4.14940418357502,0.16392230867533,NA,NA,NA,85,160
"Nicaragua",4893.82572842042,2.63689330239485,0.030233335579793,NA,NA,NA,145,245
"Niger",657.247563243979,4.06897424676758,0.204085978616641,465.665253065995,5.49939524982802,0.0337063987690223,97,125
"Nigeria",73682.7488701663,8.14163733016458,0.0208440522695687,NA,NA,NA,90,NA
"North_Macedonia",1772.54458807737,4.72459005033781,0.0715142575413518,15158.5176011264,22.4076713764314,0.0283016182176113,84,132
"Northern_Mariana_Islands",NA,NA,NA,NA,NA,NA,NA,NA
"Norway",8601.07851823197,4.74204287431426,0.0677800392729178,NA,NA,NA,69,202
"Oman",101427.707422585,25.1057953041383,0.033137422048827,NA,NA,NA,86,NA
"Pakistan",314371.596437411,27.2028564007924,0.0385556411133826,NA,NA,NA,79,NA
"Palestine",41082.3603321761,59.3205576492528,0.0304291770196201,NA,NA,NA,85,NA
"Panama",269050.550924552,7.10422228487591,0.0114789759672515,NA,NA,NA,80,NA
"Papua_New_Guinea",NA,NA,NA,NA,NA,NA,NA,NA
"Paraguay",NA,NA,NA,NA,NA,NA,NA,NA
"Peru",437020.33778865,10.3762480404401,0.0295261888846591,754278.625653601,112.930802418164,0.0293938661882553,79,190
"Philippines",NA,NA,NA,NA,NA,NA,NA,NA
