"국가별",2016,2017,2018
"크로아티아",3.5,2.9,2.6
"체코",2.5,4.4,2.9
"덴마크",2.4,2.3,1.4
"에스토니아",3.5,4.9,3.9
"핀란드",2.8,2.7,2.3
"프랑스",1.1,2.3,1.7
"독일",2.2,2.2,1.4
"그리스",-0.2,1.5,1.9
"헝가리",2.3,4.1,4.9
"아이슬란드",7.4,4.6,4.6
"아일랜드",5.0,7.2,6.7
"맨섬",7.4,-,-
"이탈리아",1.1,1.7,0.9
"라트비아",2.1,4.6,4.8
"리투아니아",2.4,4.1,3.5
"룩셈부르크",2.4,1.5,2.6
"북마케도니아",2.8,0.2,2.7
"몰타",5.7,6.7,6.6
"몰도바",4.4,4.7,4.0
"모나코",3.2,-3.5,-
"네덜란드",2.2,2.9,2.7
"노르웨이",1.2,2.0,1.4
"폴란드",3.1,4.8,5.1
"포르투갈",1.9,2.8,2.1
"루마니아",4.8,7.0,4.1
"러시아",0.3,1.6,2.3
"산마리노",2.2,1.5,-
"슬로바키아",3.1,3.2,4.1
"슬로베니아",3.1,4.9,4.5
"스페인",3.2,3.0,2.6
"스웨덴",2.7,2.1,2.4
"스위스",1.6,1.6,2.5
"우크라이나",2.4,2.5,3.3
"영국",1.8,1.8,1.4
"몬테네그로",2.9,4.7,4.9
"세르비아",3.3,2.0,4.3
"아프리카",,,
"알제리",3.3,1.6,2.1
"앙골라",-2.6,-0.1,-2.1
"베냉",4.0,5.8,6.9
"보츠와나",4.3,2.9,4.5
"부르키나파소",5.9,6.3,6.5
"부룬디",-0.6,0.5,1.6
"카메룬",4.6,3.5,3.9
"카보베르데",4.7,4.0,5.5
"중앙아프리카공화국",5.0,4.5,4.3
"차드",-6.3,-3.0,2.6
"코모로",2.2,2.7,2.8
"콩고",-2.8,-3.1,1.0
"콩고민주공화국",2.4,3.7,5.8
"코트디부아르",8.0,7.7,7.4
"지부티",8.7,4.1,6.0
"이집트",4.3,4.2,5.3
"적도기니",-8.8,-4.7,-2.9
"에티오피아",9.4,9.5,6.8
"가봉",2.1,0.5,1.2
"감비아",0.4,4.6,6.6
"가나",3.4,8.1,6.3
"기니",10.8,13.4,8.7
"기니비사우",6.3,5.9,3.8
"케냐",5.9,4.9,6.3
"레소토",3.2,-2.3,1.5
"라이베리아",-1.6,2.5,1.2
"리비아",-2.8,26.7,7.8
"마다가스카르",4.2,4.3,5.2
"말라위",2.5,4.0,3.5
"말리",5.8,5.4,4.9
"모리타니",2.0,3.0,3.6
"모리셔스",3.8,3.8,3.8
"모로코",1.1,4.1,3.0
"모잠비크",3.8,3.7,3.3
"나미비아",1.1,-0.9,-0.1
"니제르",4.9,4.9,5.2
"나이지리아",-1.6,0.8,1.9
"르완다",6.0,6.1,8.7
"상투메프린시페",4.2,3.9,2.7
"세네갈",6.4,7.1,6.8
"세이셸",4.5,4.3,3.6
"시에라리온",6.1,4.2,3.7
"남아프리카공화국",0.6,1.3,0.6
"에스와티니",3.2,1.9,0.6
"탄자니아",6.9,6.8,5.2
"토고",4.9,4.4,4.9
"튀니지",1.3,1.8,2.5
"우간다",4.8,3.9,6.1
"잠비아",3.8,3.4,3.8
"짐바브웨",0.8,4.7,6.2
"오세아니아",,,
"미국령사모아",-2.6,-5.4,-
"오스트레일리아",2.8,2.3,2.8
"피지",2.6,5.2,5.0
"괌",0.3,0.2,-
"키리바시",5.1,0.3,2.0
"마셜제도",1.9,3.6,2.5
"마이크로네시아",0.7,3.2,1.4
"나우루",10.4,4.2,-3.5
"뉴질랜드",3.6,3.1,2.8
"북마리아나제도",28.2,25.1,-
"팔라우",0.5,-3.6,5.0
"파푸아뉴기니",4.1,1.5,0.4
"사모아",7.2,2.7,0.7
"솔로몬제도",3.5,3.5,3.4
"통가",3.4,2.7,0.3
"투발루",3.0,4.1,2.5
"바누아투",4.0,4.5,3.2
