"X.Samples","Explanatory","Res_Type","a1_Logi","b1_Logi","c1_Logi","a1_Gom","b1_Gom","c1_Gom","a2_Logi","b2_Logi","c2_Logi","a2_Gom","b2_Gom","c2_Gom"
143,"prop_urban_pop","R-square",0.000203678935297138,0.00354986202485231,0.014583077831825,0.00691904351659424,0.0136617706120431,0.00744384064460678,0.0124803694704595,0.0202867852958629,0.0136006923845032,0.015579735344926,0.0653417675118943,0.00114913024850396
143,"prop_urban_pop","P-value",0.86565944104072,0.479655416714961,0.15081074844456,0.328530050323546,0.169036922901518,0.310778191169823,0.364409797775934,0.246592770798108,0.343589321254501,0.359361306705315,0.057240916463856,0.80411481564809
25,"PubSocialWelfare2018","Coefficient",7190.32079814609,-0.140866342358166,-0.00204196996604623,7566.9214345515,0.104998511564712,-0.00123977695643981,18633.0134437283,0.43090290059134,0.00197537135239131,45890.8957274033,16514.8945647288,0.00187722141005278
25,"PubSocialWelfare2018","R-square",0.204418852458682,0.0240364197838609,0.0543274351643222,0.205168328900467,0.0474226347596784,0.0404192781985475,0.125156276176697,0.147899004458339,0.0746552199812225,0.010484538373754,0.0717905494621452,0.136591612506583
25,"PubSocialWelfare2018","P-value",0.0232624629473136,0.459306204560357,0.262169421566045,0.0262350261785963,0.306676415790838,0.346189526339049,0.149796288722163,0.115072995960894,0.272622835964967,0.695756952882676,0.298453767794289,0.144277138083825
55,"NatComp2020","Coefficient",16014.6160596218,-0.0192791663081652,-0.000610638449001429,69331.1068710672,0.0320206057211458,-0.000406715934802037,2731.99400574553,-0.170150262351664,0.00038112637411675,9631.72346354704,-4989.0560540363,0.000368462497934438
55,"NatComp2020","R-square",0.0676552015267748,0.0126710858427106,0.0546458201420884,0.0156274889589056,0.00142141589760461,0.0431574979688949,0.0634344827119349,0.214664810711405,0.00472563145441548,0.0129216729150628,0.0610998914214865,0.010274752086781
55,"NatComp2020","P-value",0.0551306005231582,0.41321911605959,0.0858490911348488,0.377227114749556,0.790735215962031,0.13945541550879,0.164347401515686,0.00757214813446215,0.708522156323511,0.557114896103869,0.196099678891696,0.600832238688108
112,"Temp","Coefficient",349.452873434489,0.00141978060765763,4.15396363145922e-07,2173.80102663332,0.139356953209009,-1.78308871265365e-05,-145.081207540101,-0.000249534994465266,3.82070415538503e-05,-768.193420913421,-968.901691911148,2.8767116751768e-05
112,"Temp","R-square",0.00438223556028467,0.0073136416065703,6.53698978990175e-07,0.002309288696768,0.00422978828132293,0.00195809627510442,0.0251144860128592,1.92068525545289e-05,0.00489833662948543,0.0110557232419901,0.0135104036757004,0.00696928696997543
112,"Temp","P-value",0.488008101093083,0.369960464780362,0.993249542957293,0.619744672223287,0.501654958951936,0.64775351299391,0.247840195399569,0.974666991888121,0.611630610488563,0.491828871749867,0.447036830013908,0.585608901336424
112,"Rain","Coefficient",84.4135640476931,0.000418952071581134,-1.16459035224549e-06,-11.2370769727107,0.0101914894260143,-4.62892076592949e-06,-32.8444890519189,-0.000281741350022979,3.70453334661214e-06,-175.84323114889,-279.290473874361,7.78810127952242e-06
112,"Rain","R-square",0.00508431341719125,0.0126622018454346,0.000102161710558116,1.16116990866125e-06,0.000425683749369969,0.00248312192121155,0.0225067027517529,0.00042813363737263,0.000805218431340734,0.0106014806134626,0.0205442534273907,0.00934820177864489
112,"Rain","P-value",0.455002825882171,0.237497741205014,0.915764453707345,0.991127289332775,0.83137003531105,0.606852002765681,0.274287656318947,0.880809710573755,0.837062382870998,0.500911689176053,0.347571564151725,0.527503457664414
27,"PharmSales2018","Coefficient",2.06468121339594,3.04021115844931e-05,-3.59574658790027e-07,2.03876452281511,0.000684977290296799,-2.6741185614933e-07,5.67987203086412,3.54329821530556e-05,-1.30494599699764e-07,27.1639349609762,-1.02855612375303,-1.34831024245329e-08
27,"PharmSales2018","R-square",0.0956652261718872,0.0134939857765406,0.0153763371597084,0.0851941017965036,0.454391371627012,0.0182118543937527,0.145195378919644,0.012409861230749,0.00401594155440077,0.0477560392614378,0.00362112812134742,8.94369076582832e-05
27,"PharmSales2018","P-value",0.116441257434401,0.563938616989874,0.537744789279442,0.14794402984391,0.000159552511531536,0.51099188457156,0.107488209572701,0.649806034988395,0.796611113189166,0.383650884890551,0.812509404834221,0.970291114482518
112,"Export2016","Coefficient",-6298.79856069388,-0.0205720909810637,0.000146083063623293,-34914.3855731117,-2.48320934289626,0.00012641123298777,-4213.47289959617,-0.00521679750680208,-0.000301676750527551,-7154.96701334915,4340.07673604426,-0.000160219422569511
112,"Export2016","R-square",0.0260179712376695,0.0419155208363441,0.00221175110653527,0.0110351027092402,0.00637469578556038,0.00239057403063091,0.0300479695303261,0.000220028624560542,0.0074411552884569,0.0169742153020179,0.00698723017836078,0.00553233108710555
112,"Export2016","P-value",0.0893112132608118,0.0303591178130909,0.622436640981265,0.274748297957327,0.407022001767827,0.611982991143028,0.210017032478983,0.915219158890003,0.535112951436648,0.393642886015098,0.585124951045059,0.627260211618186
112,"Import2016","Coefficient",-319705.254576345,0.158562409124287,0.0892520299052418,-376395.114261252,-1.18630671201826,0.0424747779101931,4229078.90271106,1.39520781662984,-0.0511760396430547,5265854.43591047,28.3197977471767,-0.0344775967056211
112,"Import2016","R-square",0.99167052224596,0.933599572106182,0.992667635754182,0.999855280103194,0.999944410020511,0.99494298884629,0.995240428232746,0.99392778551083,0.99324033586423,0.996885299896792,0.999999999941371,0.981980904797553
112,"Import2016","P-value",0.0759140313577564,0.884697943866968,0.0608527274690962,2.92672721040392e-05,4.33158966839583e-06,0.0302382157808493,0.37989189686014,0.424574565217652,0.445503388665456,0.284239329050045,3.98297228234337e-05,0.620667005580838
147,"TotalGDP2018","Coefficient",-20195.5613084212,-8.84474963284131,-0.0418338357841872,-30359.8924418104,-23.4866223816095,-0.0180219997867515,-93090.0855042835,-12.3936406900353,-0.000198402688755001,-172828.89282374,-2695.37378431614,0.0275133023883056
147,"TotalGDP2018","R-square",0.999784013043027,0.624171467844687,0.911447138278252,0.99994907245763,0.999895918847624,0.904853067803,0.997433578112686,0.997801863738486,0.99917108172512,0.999346802805227,0.999999822635579,0.953702043566273
147,"TotalGDP2018","P-value",7.21169819886483e-16,0.999999993819064,0.539239405573723,2.28117528254494e-18,1.65732844148773e-16,0.665490705110138,0.0174644161166448,0.0139394583887197,0.00331223353665095,0.0174873762955793,4.78882833409754e-06,0.72193696595201
146,"perGDP2017","Coefficient",324.750993174756,1.05907763789205,-0.0303008390833382,325.098846700822,1.80362762576035,-0.0354969166789181,1934.21434471105,-22.9011995097698,-0.128949721138393,2111.41998393193,1110.01031450485,-0.0037773871214623
146,"perGDP2017","R-square",1,1,1,1,1,1,1,1,1,1,1,1
146,"perGDP2017","P-value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"Travel_in2017","Coefficient",233296.932575271,2.18970545511872,0.00927266254620416,306668.919272205,37.0708002776352,0.00274389589800185,-29447.3889910539,4.18367719071606,0.0237292294480457,-92667.9342248426,1101.96276971555,0.0250983068580999
49,"Travel_in2017","R-square",0.947645568186036,0.762420542598195,0.741475627143988,0.999855169007217,0.874241049979138,0.740607777822114,0.999734522764212,0.560481369698131,0.453902440188895,0.999728890328951,0.999999975923571,0.968735757192305
49,"Travel_in2017","P-value",0.0137841148317134,0.75616882374104,0.821572626458527,1.2716617579639e-10,0.408971769291517,0.912708378674759,1.30080296569794e-07,0.970091936634718,0.995252475893355,9.42610461462136e-05,7.89892436512225e-11,0.100649037474165
