"","country","current_state","max_spread","max_suppression","control_index","peak_number","break_number","peak1","peak2","peak3","peak4","peak5","break1","break2","break3","break4","break5"
"14","Belarus",5.76440761373737,31.1768138948686,25.2876495562767,1.23288698008432,1,2,143,NA,NA,NA,NA,84,230,NA,NA,NA
"15","Belgium",10.3767254862753,68.1524091467309,52.8170884177325,1.29034771109893,1,2,102,NA,NA,NA,NA,67,184,NA,NA,NA
"16","Benin",2.80035405499084,2.61000273699774,3.01857668795591,0.864646820937702,3,3,134,179,203,NA,NA,117,148,194,NA,NA
"17","Bolivia",27.5945806284677,28.8151237107879,41.3480841162777,0.69689138751278,1,1,207,NA,NA,NA,NA,91,NA,NA,NA,NA
"18","Bosnia_and_Herzegovina",37.2658035371284,7.08847197704122,4.56026677964149,1.55439852964008,1,2,220,NA,NA,NA,NA,84,233,NA,NA,NA
"19","Botswana",28.1370861428123,1.6934061492172,0.644908951866022,2.62580654884289,0,1,NA,NA,NA,NA,NA,168,NA,NA,NA,NA
"20","Brazil",39.2583903891749,783.721085676785,717.757076557711,1.09190297284902,1,1,217,NA,NA,NA,NA,76,NA,NA,NA,NA
"21","Bulgaria",20.3461334606316,6.49246932071634,5.56897146919778,1.16582915833318,2,3,123,208,NA,NA,NA,80,154,249,NA,NA
"22","Cameroon",6.72362882828898,8.94635741467198,11.7611712408712,0.760668919059909,2,2,165,194,NA,NA,NA,88,186,NA,NA,NA
"23","Canada",8.5291972159025,71.6283013225392,38.5084421116562,1.86006749156071,2,3,122,210,NA,NA,NA,71,190,230,NA,NA
"24","Cape_Verde",44.7329333503639,1.4330957883155,0.958436618565372,1.4952431496833,0,1,NA,NA,NA,NA,NA,113,NA,NA,NA,NA
"25","Central_African_Republic",0.85067505371169,3.67990349662531,3.63667999825488,1.01188542802533,1,1,179,NA,NA,NA,NA,125,NA,NA,NA,NA
"26","Chile",6.20387278727696,282.917905007907,372.517245796521,0.759475992589199,1,1,173,NA,NA,NA,NA,78,NA,NA,NA,NA
