"","a1_Logi","b1_Logi","c1_Logi","a2_Logi","b2_Logi","c2_Logi","startpoint","breakpoint"
"Marshall_Islands",NA,NA,NA,NA,NA,NA,NA,NA
"Mauritania",6922.02390959233,3.41642967887981,0.0807287830240891,NA,NA,NA,143,NA
"Mauritius",NA,NA,NA,NA,NA,NA,NA,NA
"Mexico",797120.156203108,4.75650947217399,0.0359528006950472,NA,NA,NA,75,NA
"Moldova",29643.8971971931,3.71648765605397,0.0378252664894862,32734.9064602047,9.88568784043794,0.0612974862925513,84,196
"Monaco",NA,NA,NA,NA,NA,NA,NA,NA
"Mongolia",NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",4812.04118463326,9.36023145720517,0.0759944420540453,6721.602184253,23.414989893292,0.132652420643625,90,237
"Montserrat",NA,NA,NA,NA,NA,NA,NA,NA
"Morocco",NA,NA,NA,NA,NA,NA,NA,NA
"Mozambique",30735.081515546,5.58294736004787,0.0280332440929503,NA,NA,NA,NA,NA
"Myanmar",NA,NA,NA,NA,NA,NA,NA,NA
"Namibia",12643.7013332099,4.40320157718251,0.0646639887465072,NA,NA,NA,177,NA
"Nepal",18579.2814890337,6.36492008739117,0.11111285584887,62865.5132335143,10.6524483673716,0.0782897446946852,122,205
"Netherlands",47908.8051729767,3.63679953217178,0.0908678890467446,77925.266982546,11.0964047859297,0.0555405733512107,69,193
"New_Caledonia",NA,NA,NA,NA,NA,NA,NA,NA
"New_Zealand",1090.5723959052,2.66945195851431,0.235375693623944,407.878017664413,9.83173750813181,0.0607912849370512,85,160
"Nicaragua",4771.75577736096,2.01244712036051,0.0448371540660678,NA,NA,NA,145,260
"Niger",636.365653001654,2.72468186911369,0.311208541698417,459.021738163119,2.86344062514713,0.0457981838733548,97,125
"Nigeria",58687.8162504978,4.54274637716522,0.0432799745253126,NA,NA,NA,90,NA
"North_Macedonia",1540.64916647524,3.2961056567154,0.134005430953275,14868.4609957648,5.629643982809,0.0454837663646653,84,132
"Northern_Mariana_Islands",NA,NA,NA,NA,NA,NA,NA,NA
"Norway",8471.55412918634,2.93015359844517,0.100874997752995,6003.4600109509,13.099166088159,0.0676325017305902,69,202
"Oman",89673.9816647526,6.35842404889484,0.0609522535165272,NA,NA,NA,86,NA
"Pakistan",298279.173098747,5.96894265395235,0.0630465303585983,NA,NA,NA,79,NA
